playerOneNumber,playerOne,playerTwoNumber,playerTwo,round,playerOneWins,playerTwoWins,draws
#0130,Doruta,#0018,Buwei,1,3,0,0
#0128,Xetune,#0142,Nuthea,1,1,2,0
#0003,Tubos,#0115,Lethea Mk XCVII,1,2,1,0
#0120,Waria v41.6,#0102,Huyama,1,0,3,0
#0017,Wonus,#0143,Ronope Mk LXVIII,1,3,0,0
#0010,Xocury,#0048,Yayama,1,0,3,0
#0024,Wehines Mk L,#0066,Ferilia,1,1,2,0
#0073,Vophus,#0140,Jeliv,1,2,1,0
#0124,Fanov v33.40,#0129,Peter,1,3,0,0
#0019,Iavis v40.72,#0084,Iuzuno,1,3,0,0
#0062,Nanov,#0112,Matania,1,2,1,0
#0099,Vathea,#0126,Wanus v30.81,1,3,0,0
#0015,Honov,#0134,Tetune,1,2,1,0
#0116,Soria,#0058,Guthea,1,2,1,0
#0038,Selia,#0087,Doyama Mk VII,1,0,3,0
#0059,Qewei,#0002,Nonia,1,2,1,0
#0005,Cotania,#0123,Fatera,1,1,2,0
#0007,Nostea,#0028,Senus Mk XLIX,1,0,3,0
#0032,Later,#0044,Wunus,1,3,0,0
#0107,Danov,#0083,Hunus v28.9,1,3,0,0
#0022,Yocarro Mk XLVII,#0097,Foter,1,2,1,0
#0016,Purilia Mk XXXV,#0011,Wuwei v12.30,1,1,2,0
#0121,Sugantu,#0001,Gaphus,1,1,2,0
#0013,Tewei v11.69,#0077,Vucarro v33.11,1,3,0,0
#0082,Qaturn,#0047,Futis,1,3,0,0
#0091,Qalea,#0137,Juzuno v16.41,1,0,3,0
#0029,Nehiri,#0081,Wustea Mk LXXXVI,1,0,3,0
#0050,Dovis v46.22,#0078,Zuter,1,0,3,0
#0117,Cethea,#0105,Nalea v36.5,1,0,3,0
#0132,Vetania,#0075,Jenides,1,0,3,0
#0035,Haruta Mk XLIX,#0021,Selea,1,1,2,0
#0072,Xulia,#0104,Nutera,1,0,3,0
#0063,Logawa,#0138,Bowei,1,2,1,0
#0054,Halea v22.63,#0046,Henerth Mk VIII,1,2,1,0
#0025,Iapra,#0086,Peturn,1,3,0,0
#0040,Wuter Mk XVII,#0052,Qustea,1,3,0,0
#0090,Gohiri,#0093,Megantu,1,3,0,0
#0012,Yutera Mk LXXXIV,#0051,Xaturn,1,3,0,0
#0045,Futer,#0061,Wuturn v18.96,1,0,3,0
#0067,Rozuno,#0127,Quwei,1,1,2,0
#0049,Ronus v28.11,#0080,Fuwei,1,1,2,0
#0141,Quphus,#0060,Tonides,1,0,3,0
#0008,Tepra,#0053,Zostea,1,0,3,0
#0068,Fucury,#0106,Jatania,1,0,3,0
#0027,Yutania,#0042,Potera,1,3,0,0
#0004,Pecury,#0074,Petania Mk LXXXVII,1,0,3,0
#0119,Xunus Mk XII,#0113,Kunope,1,1,2,0
#0110,Keclite,#0089,Lanus,1,3,0,0
#0014,Qewei Mk XCV,#0071,Secarro,1,0,3,0
#0037,Decarro,#0108,Getis,1,3,0,0
#0070,Qunus,#0135,Durus v12.47,1,2,1,0
#0056,Wahiri Mk LXXIV,#0041,Toliv v6.73,1,3,0,0
#0031,Ianov,#0069,Bonope,1,3,0,0
#0114,Negantu,#0125,Soter v3.44,1,3,0,0
#0064,Zoclite,#0095,Rugawa,1,0,3,0
#0109,Ioliv,#0136,Tuvis,1,0,3,0
#0088,Julea,#0034,Pucury v46.28,1,2,1,0
#0122,Wanope,#0118,Pucarro,1,3,0,0
#0076,Qater,#0133,Felea,1,2,1,0
#0006,Sophus,#0100,Turilia v28.53,1,1,2,0
#0101,Fabos,#0055,Sulara v35.90,1,0,3,0
#0039,Cuvis,#0043,Dayama,1,0,3,0
#0065,Huthea,#0079,Dutune,1,2,1,0
#0033,Lacarro,#0098,Suria Mk XCVII,1,0,3,0
#0139,Konus Mk LVIII,#0131,Iunus v35.24,1,2,1,0
