playerOneNumber,playerOne,playerTwoNumber,playerTwo,round,playerOneWins,playerTwoWins,draws
#0018,Buwei,#0131,Iunus v35.24,1,2,1,0
#0092,Yestea,#0139,Konus Mk LVIII,1,3,0,0
#0135,Durus v12.47,#0028,Senus Mk XLIX,1,0,3,0
#0053,Zostea,#0062,Nanov,1,2,1,0
#0021,Selea,#0013,Tewei v11.69,1,0,3,0
#0060,Tonides,#0100,Turilia v28.53,1,0,3,0
#0101,Fabos,#0058,Guthea,1,0,3,0
#0007,Nostea,#0020,Humia,1,2,1,0
#0056,Wahiri Mk LXXIV,#0094,Monus,1,2,1,0
#0032,Later,#0037,Decarro,1,0,3,0
#0039,Cuvis,#0073,Vophus,1,2,1,0
#0110,Keclite,#0038,Selia,1,3,0,0
#0014,Qewei Mk XCV,#0089,Lanus,1,0,3,0
#0076,Qater,#0084,Iuzuno,1,2,1,0
#0085,Fupra,#0141,Quphus,1,3,0,0
#0136,Tuvis,#0067,Rozuno,1,3,0,0
#0015,Honov,#0083,Hunus v28.9,1,1,2,0
#0120,Waria v41.6,#0118,Pucarro,1,3,0,0
#0042,Potera,#0140,Jeliv,1,2,1,0
#0127,Quwei,#0068,Fucury,1,2,1,0
#0077,Vucarro v33.11,#0091,Qalea,1,0,3,0
#0031,Ianov,#0047,Futis,1,3,0,0
#0059,Qewei,#0119,Xunus Mk XII,1,1,2,0
#0096,Funerth,#0087,Doyama Mk VII,1,1,2,0
#0061,Wuturn v18.96,#0063,Logawa,1,0,3,0
#0006,Sophus,#0033,Lacarro,1,3,0,0
#0041,Toliv v6.73,#0075,Jenides,1,0,3,0
#0086,Peturn,#0052,Qustea,1,3,0,0
#0081,Wustea Mk LXXXVI,#0051,Xaturn,1,3,0,0
#0079,Dutune,#0054,Halea v22.63,1,3,0,0
#0002,Nonia,#0142,Nuthea,1,1,2,0
#0124,Fanov v33.40,#0045,Futer,1,3,0,0
#0109,Ioliv,#0111,Herilia v14.82,1,1,2,0
#0134,Tetune,#0123,Fatera,1,3,0,0
#0035,Haruta Mk XLIX,#0129,Peter,1,3,0,0
#0036,Tenia,#0069,Bonope,1,3,0,0
#0125,Soter v3.44,#0144,Muhiri v31.23,1,1,2,0
#0070,Qunus,#0128,Xetune,1,0,3,0
#0044,Wunus,#0043,Dayama,1,1,2,0
#0049,Ronus v28.11,#0103,Xotune v29.73,1,1,2,0
#0113,Kunope,#0046,Henerth Mk VIII,1,3,0,0
#0030,Yenus,#0106,Jatania,1,2,1,0
#0093,Megantu,#0066,Ferilia,1,1,2,0
#0137,Juzuno v16.41,#0099,Vathea,1,3,0,0
#0064,Zoclite,#0126,Wanus v30.81,1,2,1,0
#0022,Yocarro Mk XLVII,#0147,Totera,1,0,3,0
#0146,Yonia,#0078,Zuter,1,1,2,0
#0143,Ronope Mk LXVIII,#0108,Getis,1,1,2,0
#0034,Pucury v46.28,#0048,Yayama,1,0,3,0
#0065,Huthea,#0133,Felea,1,0,3,0
#0057,Ienov,#0023,Manope Mk XXXVII,1,3,0,0
#0004,Pecury,#0040,Wuter Mk XVII,1,0,3,0
#0082,Qaturn,#0008,Tepra,1,3,0,0
#0088,Julea,#0116,Soria,1,1,2,0
#0117,Cethea,#0025,Iapra,1,1,2,0
#0005,Cotania,#0010,Xocury,1,2,1,0
#0003,Tubos,#0138,Bowei,1,2,1,0
#0098,Suria Mk XCVII,#0145,Yolia v39.2,1,0,3,0
#0115,Lethea Mk XCVII,#0072,Xulia,1,2,1,0
#0012,Yutera Mk LXXXIV,#0050,Dovis v46.22,1,3,0,0
#0029,Nehiri,#0090,Gohiri,1,0,3,0
#0122,Wanope,#0104,Nutera,1,3,0,0
#0001,Gaphus,#0024,Wehines Mk L,1,2,1,0
#0055,Sulara v35.90,#0017,Wonus,1,3,0,0
#0097,Foter,#0016,Purilia Mk XXXV,1,2,1,0
#0148,Juter Mk LXVII,#0009,Relia v12.42,1,3,0,0
#0132,Vetania,#0105,Nalea v36.5,1,1,2,0
#0121,Sugantu,#0071,Secarro,1,0,3,0
#0019,Iavis v40.72,#0011,Wuwei v12.30,1,3,0,0
