uid,number,name,rank,wld,kills,health,survivingDrones,roundTime,width,height
TfceRA,#0001,Squadron Gaphus,0,1,6,258,5,293,800,800
TfceRA,#0001,Squadron Gaphus,1,1,6,304,5,192,800,800
TfceRA,#0001,Squadron Gaphus,2,1,6,212,4,223,800,800
TfceRA,#0001,Squadron Gaphus,3,-1,4,0,0,350,800,800
pfzPFm,#0001,Squadron Gaphus,0,1,6,228,4,258,800,800
pfzPFm,#0001,Squadron Gaphus,1,1,6,277,6,215,800,800
pfzPFm,#0001,Squadron Gaphus,2,1,6,308,4,288,800,800
pfzPFm,#0001,Squadron Gaphus,3,-1,2,0,0,326,800,800
hkpujO,#0001,Squadron Gaphus,0,1,6,296,5,237,800,800
hkpujO,#0001,Squadron Gaphus,1,1,6,336,5,210,800,800
hkpujO,#0001,Squadron Gaphus,2,1,6,229,5,186,800,800
hkpujO,#0001,Squadron Gaphus,3,1,6,271,5,221,800,800
hkpujO,#0001,Squadron Gaphus,4,1,6,367,5,198,800,800
hkpujO,#0001,Squadron Gaphus,5,1,6,246,5,292,800,800
hkpujO,#0001,Squadron Gaphus,6,1,6,294,5,293,800,800
hkpujO,#0001,Squadron Gaphus,7,1,6,180,4,241,800,800
hkpujO,#0001,Squadron Gaphus,8,-1,4,0,0,329,800,800
yAG1m5,#0002,Squadron Nonia,0,1,6,190,2,401,800,800
yAG1m5,#0002,Squadron Nonia,1,1,6,467,6,225,800,800
yAG1m5,#0002,Squadron Nonia,2,1,6,25,1,432,800,800
yAG1m5,#0002,Squadron Nonia,3,1,6,127,3,314,800,800
yAG1m5,#0002,Squadron Nonia,4,1,6,230,3,261,800,800
yAG1m5,#0002,Squadron Nonia,5,1,6,232,5,325,800,800
yAG1m5,#0002,Squadron Nonia,6,1,6,63,1,550,800,800
yAG1m5,#0002,Squadron Nonia,7,-1,1,0,0,281,800,800
XIKoHV,#0002,Squadron Nonia,0,1,6,105,4,285,800,800
XIKoHV,#0002,Squadron Nonia,1,1,6,419,6,274,800,800
XIKoHV,#0002,Squadron Nonia,2,1,6,295,5,314,800,800
XIKoHV,#0002,Squadron Nonia,3,1,6,139,3,388,800,800
XIKoHV,#0002,Squadron Nonia,4,1,6,577,6,171,800,800
XIKoHV,#0002,Squadron Nonia,5,1,6,234,4,285,800,800
XIKoHV,#0002,Squadron Nonia,6,1,6,417,6,310,800,800
XIKoHV,#0002,Squadron Nonia,7,1,6,178,3,314,800,800
XIKoHV,#0002,Squadron Nonia,8,1,6,338,4,290,800,800
XIKoHV,#0002,Squadron Nonia,9,-1,4,0,0,382,800,800
W6b2On,#0002,Squadron Nonia,0,1,6,114,2,407,800,800
W6b2On,#0002,Squadron Nonia,1,1,6,459,5,236,800,800
