uid,number,name,rank,wld,kills,health,survivingDrones,roundTime,width,height
EbCPDo,#0001,Squadron Gaphus,0,1,6,183,4,218,1280,720
EbCPDo,#0001,Squadron Gaphus,1,1,6,306,5,229,1280,720
EbCPDo,#0001,Squadron Gaphus,2,1,6,191,5,261,1280,720
EbCPDo,#0001,Squadron Gaphus,3,1,6,120,3,484,1280,720
EbCPDo,#0001,Squadron Gaphus,4,1,6,242,5,229,1280,720
EbCPDo,#0001,Squadron Gaphus,5,1,6,356,5,284,1280,720
EbCPDo,#0001,Squadron Gaphus,6,1,6,158,4,269,1280,720
EbCPDo,#0001,Squadron Gaphus,7,1,6,181,4,244,1280,720
EbCPDo,#0001,Squadron Gaphus,8,1,6,115,3,418,1280,720
EbCPDo,#0001,Squadron Gaphus,9,1,6,232,4,269,1280,720
EbCPDo,#0001,Squadron Gaphus,10,-1,4,0,0,444,1280,720
oxfEHk,#0001,Squadron Gaphus,0,1,6,390,5,256,1280,720
oxfEHk,#0001,Squadron Gaphus,1,1,6,221,3,279,1280,720
oxfEHk,#0001,Squadron Gaphus,2,-1,4,0,0,326,1280,720
DA2T7e,#0001,Squadron Gaphus,0,1,6,58,2,423,1280,720
DA2T7e,#0001,Squadron Gaphus,1,1,6,397,6,177,1280,720
DA2T7e,#0001,Squadron Gaphus,2,1,6,319,4,230,1280,720
DA2T7e,#0001,Squadron Gaphus,3,1,6,247,5,278,1280,720
DA2T7e,#0001,Squadron Gaphus,4,1,6,244,3,192,1280,720
DA2T7e,#0001,Squadron Gaphus,5,1,6,198,3,271,1280,720
DA2T7e,#0001,Squadron Gaphus,6,1,6,339,5,275,1280,720
DA2T7e,#0001,Squadron Gaphus,7,1,6,297,5,292,1280,720
DA2T7e,#0001,Squadron Gaphus,8,1,6,239,6,270,1280,720
DA2T7e,#0001,Squadron Gaphus,9,-1,2,0,0,370,1280,720
tlAgNL,#0002,Squadron Nonia,0,1,6,272,3,397,1280,720
tlAgNL,#0002,Squadron Nonia,1,1,6,428,5,255,1280,720
tlAgNL,#0002,Squadron Nonia,2,1,6,167,2,396,1280,720
tlAgNL,#0002,Squadron Nonia,3,1,6,219,4,426,1280,720
tlAgNL,#0002,Squadron Nonia,4,1,6,279,6,237,1280,720
tlAgNL,#0002,Squadron Nonia,5,1,6,400,5,267,1280,720
tlAgNL,#0002,Squadron Nonia,6,1,6,268,4,430,1280,720
tlAgNL,#0002,Squadron Nonia,7,-1,4,0,0,457,1280,720
fYfnyI,#0002,Squadron Nonia,0,1,6,217,4,382,1280,720
fYfnyI,#0002,Squadron Nonia,1,1,6,292,6,353,1280,720
fYfnyI,#0002,Squadron Nonia,2,1,6,145,1,453,1280,720
fYfnyI,#0002,Squadron Nonia,3,1,6,223,4,367,1280,720
fYfnyI,#0002,Squadron Nonia,4,1,6,300,6,275,1280,720
fYfnyI,#0002,Squadron Nonia,5,1,6,192,4,370,1280,720
fYfnyI,#0002,Squadron Nonia,6,1,6,331,5,284,1280,720
fYfnyI,#0002,Squadron Nonia,7,1,6,212,4,377,1280,720
fYfnyI,#0002,Squadron Nonia,8,1,6,217,2,404,1280,720
fYfnyI,#0002,Squadron Nonia,9,1,6,19,3,426,1280,720
fYfnyI,#0002,Squadron Nonia,10,1,6,76,1,1396,1280,720
fYfnyI,#0002,Squadron Nonia,11,-1,3,0,0,328,1280,720
d9WoWK,#0002,Squadron Nonia,0,1,6,206,3,399,1280,720
