uid,number,squadron,highScore,rank,width,height
Llf9MT,#0001,Squadron Gaphus,9300,0,720,720
942ZW7,#0001,Squadron Gaphus,97500,3,720,720
yFaxa1,#0001,Squadron Gaphus,14500,0,720,720
qdim00,#0001,Squadron Gaphus,98000,3,720,720
25QGRI,#0001,Squadron Gaphus,8800,0,720,720
UYx74e,#0002,Squadron Nonia,603900,19,720,720
grX0Sp,#0002,Squadron Nonia,11500,0,720,720
U0cVgk,#0002,Squadron Nonia,93400,3,720,720
chh7OV,#0002,Squadron Nonia,229200,7,720,720
lPG29s,#0002,Squadron Nonia,97500,3,720,720
i8nJso,#0003,Squadron Tubos,103700,3,720,720
Lualit,#0003,Squadron Tubos,218100,7,720,720
wckumM,#0003,Squadron Tubos,224000,7,720,720
THxovg,#0003,Squadron Tubos,76000,2,720,720
D5R0C9,#0003,Squadron Tubos,112900,3,720,720
FXPiaU,#0004,Squadron Pecury,4800,0,720,720
K3m2Tw,#0004,Squadron Pecury,0,0,720,720
e2dI32,#0004,Squadron Pecury,9000,0,720,720
Drni9W,#0004,Squadron Pecury,4300,0,720,720
yJHhGk,#0004,Squadron Pecury,0,0,720,720
5feYLA,#0005,Squadron Cotania,13300,0,720,720
5zsjfw,#0005,Squadron Cotania,9000,0,720,720
Epy8uu,#0005,Squadron Cotania,68800,2,720,720
LVOfOd,#0005,Squadron Cotania,63800,2,720,720
ubIII1,#0005,Squadron Cotania,14500,0,720,720
9bLanP,#0006,Squadron Sophus,81700,2,720,720
6XI2gD,#0006,Squadron Sophus,103200,3,720,720
iGk6VX,#0006,Squadron Sophus,15000,0,720,720
uQ1I61,#0006,Squadron Sophus,223500,7,720,720
UgGpxF,#0006,Squadron Sophus,98200,3,720,720
Et3xjE,#0007,Squadron Nostea,293500,9,720,720
w0gfya,#0007,Squadron Nostea,76100,2,720,720
Ru42cG,#0007,Squadron Nostea,323500,10,720,720
RYRtsO,#0007,Squadron Nostea,20500,0,720,720
nvx25S,#0007,Squadron Nostea,88300,3,720,720
ag6tbp,#0008,Squadron Tepra,6000,0,720,720
wYHyo8,#0008,Squadron Tepra,286800,9,720,720
oBQO6L,#0008,Squadron Tepra,20800,0,720,720
ddWHM3,#0008,Squadron Tepra,191100,6,720,720
z17Sr7,#0008,Squadron Tepra,97000,3,720,720
KplBUu,#0009,Squadron Relia v12.42,14500,0,720,720
HsoTSJ,#0009,Squadron Relia v12.42,4800,0,720,720
GQKIEY,#0009,Squadron Relia v12.42,10800,0,720,720
X8Bzsg,#0009,Squadron Relia v12.42,20300,0,720,720
MU7EcR,#0009,Squadron Relia v12.42,66200,2,720,720
AIXdRU,#0010,Squadron Xocury,9000,0,720,720
sDYg3v,#0010,Squadron Xocury,8700,0,720,720
