uid,number,name,rank,wld,kills,health,survivingDrones,roundTime,width,height
AgQi0E,#0001,Squadron Gaphus,0,1,6,117,4,285,1024,1024
AgQi0E,#0001,Squadron Gaphus,1,1,6,296,6,222,1024,1024
AgQi0E,#0001,Squadron Gaphus,2,1,6,30,2,343,1024,1024
AgQi0E,#0001,Squadron Gaphus,3,1,6,91,2,374,1024,1024
AgQi0E,#0001,Squadron Gaphus,4,1,6,138,5,312,1024,1024
AgQi0E,#0001,Squadron Gaphus,5,-1,5,0,0,420,1024,1024
VxTCsa,#0001,Squadron Gaphus,0,1,6,98,3,264,1024,1024
VxTCsa,#0001,Squadron Gaphus,1,1,6,301,6,196,1024,1024
VxTCsa,#0001,Squadron Gaphus,2,1,6,259,5,261,1024,1024
VxTCsa,#0001,Squadron Gaphus,3,1,6,310,6,300,1024,1024
VxTCsa,#0001,Squadron Gaphus,4,1,6,196,4,268,1024,1024
VxTCsa,#0001,Squadron Gaphus,5,1,6,280,4,350,1024,1024
VxTCsa,#0001,Squadron Gaphus,6,1,6,336,6,249,1024,1024
VxTCsa,#0001,Squadron Gaphus,7,1,6,357,6,255,1024,1024
VxTCsa,#0001,Squadron Gaphus,8,1,6,262,5,253,1024,1024
VxTCsa,#0001,Squadron Gaphus,9,1,6,288,5,246,1024,1024
VxTCsa,#0001,Squadron Gaphus,10,1,6,166,5,337,1024,1024
VxTCsa,#0001,Squadron Gaphus,11,1,6,120,3,336,1024,1024
VxTCsa,#0001,Squadron Gaphus,12,1,6,209,4,372,1024,1024
VxTCsa,#0001,Squadron Gaphus,13,1,6,90,4,318,1024,1024
VxTCsa,#0001,Squadron Gaphus,14,1,6,208,4,250,1024,1024
VxTCsa,#0001,Squadron Gaphus,15,1,6,290,6,274,1024,1024
VxTCsa,#0001,Squadron Gaphus,16,1,6,398,6,145,1024,1024
VxTCsa,#0001,Squadron Gaphus,17,1,6,285,6,284,1024,1024
VxTCsa,#0001,Squadron Gaphus,18,-1,5,0,0,434,1024,1024
AXcbYR,#0001,Squadron Gaphus,0,1,6,221,5,228,1024,1024
AXcbYR,#0001,Squadron Gaphus,1,1,6,265,5,237,1024,1024
AXcbYR,#0001,Squadron Gaphus,2,1,6,325,6,214,1024,1024
AXcbYR,#0001,Squadron Gaphus,3,1,6,43,3,398,1024,1024
AXcbYR,#0001,Squadron Gaphus,4,1,6,323,4,249,1024,1024
AXcbYR,#0001,Squadron Gaphus,5,1,6,231,4,277,1024,1024
AXcbYR,#0001,Squadron Gaphus,6,1,6,387,6,232,1024,1024
AXcbYR,#0001,Squadron Gaphus,7,1,6,264,6,248,1024,1024
AXcbYR,#0001,Squadron Gaphus,8,1,6,411,5,282,1024,1024
AXcbYR,#0001,Squadron Gaphus,9,1,6,170,4,266,1024,1024
AXcbYR,#0001,Squadron Gaphus,10,-1,2,0,0,354,1024,1024
hm3pvz,#0002,Squadron Nonia,0,1,6,81,2,375,1024,1024
hm3pvz,#0002,Squadron Nonia,1,1,6,334,4,632,1024,1024
hm3pvz,#0002,Squadron Nonia,2,1,6,281,4,293,1024,1024
hm3pvz,#0002,Squadron Nonia,3,1,6,258,4,415,1024,1024
hm3pvz,#0002,Squadron Nonia,4,1,6,449,4,336,1024,1024
hm3pvz,#0002,Squadron Nonia,5,1,6,195,3,333,1024,1024
hm3pvz,#0002,Squadron Nonia,6,1,6,352,4,295,1024,1024
hm3pvz,#0002,Squadron Nonia,7,1,6,21,1,380,1024,1024
hm3pvz,#0002,Squadron Nonia,8,1,6,241,5,318,1024,1024
