playerOneNumber,playerOne,playerTwoNumber,playerTwo,round,playerOneWins,playerTwoWins,draws
#0008,Relia v12.42,#0000,Qater,1,1,2,0
#0002,Peturn,#0000,Rozuno,1,0,3,0
#0000,Danov,#0000,Qalea,1,1,2,0
#0010,Wuwei v12.30,#0000,Lacarro,1,0,3,0
#0000,Xulia,#0000,Nalea v36.5,1,0,3,0
#0000,Henerth Mk VIII,#0001,Dovis v46.22,1,2,1,0
#0013,Qewei Mk XCV,#0000,Yayama,1,0,3,0
#0001,Vophus,#0000,Dutune,1,0,3,0
#0002,Wustea Mk LXXXVI,#0000,Pucury v46.28,1,3,0,0
#0002,Zuter,#0001,Fucury,1,2,1,0
#0024,Iapra,#0000,Gohiri,1,1,2,0
#0015,Purilia Mk XXXV,#0000,Senus Mk XLIX,1,0,3,0
#0000,Turilia v28.53,#0000,Ferilia,1,3,0,0
#0019,Humia,#0003,Tonides,1,2,1,0
#0000,Halea v22.63,#0001,Nutera,1,1,2,0
#0009,Xocury,#0001,Tenia,1,0,3,0
#0000,Foter,#0000,Ienov,1,2,1,0
#0001,Fuwei,#0000,Ronus v28.11,1,3,0,0
#0000,Megantu,#0001,Yestea,1,1,2,0
#0000,Jenides,#0000,Later,1,1,2,0
#0000,Fabos,#0000,Qunus,1,1,2,0
#0020,Selea,#0000,Iuzuno,1,1,2,0
#0000,Haruta Mk XLIX,#0018,Iavis v40.72,1,1,2,0
#0000,Ioliv,#0001,Vucarro v33.11,1,3,0,0
#0000,Yutania,#0000,Hunus v28.9,1,0,3,0
#0003,Pecury,#0000,Yenus,1,0,3,0
#0016,Buwei,#0000,Futer,1,3,0,0
#0000,Potera,#0000,Funerth,1,0,3,0
#0000,Logawa,#0003,Doyama Mk VII,1,2,1,0
#0005,Sophus,#0001,Vathea,1,1,2,0
#0004,Cotania,#0001,Nonia,1,0,3,0
#0001,Huyama,#0001,Zoclite,1,3,0,0
#0001,Qustea,#0000,Selia,1,2,1,0
#0001,Futis,#0007,Tepra,1,2,1,0
#0021,Yocarro Mk XLVII,#0002,Qewei,1,3,0,0
#0000,Wunus,#0000,Nehiri,1,3,0,0
#0000,Cuvis,#0000,Petania Mk LXXXVII,1,1,2,0
#0000,Gaphus,#0014,Honov,1,0,3,0
#0000,Ianov,#0000,Suria Mk XCVII,1,3,0,0
#0000,Monus,#0001,Sulara v35.90,1,0,3,0
#0002,Wahiri Mk LXXIV,#0012,Tewei v11.69,1,0,3,0
#0002,Tubos,#0000,Xotune v29.73,1,0,3,0
#0005,Lanus,#0000,Jatania,1,2,1,0
#0000,Bonope,#0000,Xaturn,1,3,0,0
#0001,Wuter Mk XVII,#0000,Qaturn,1,2,1,0
#0000,Rugawa,#0000,Nanov,1,3,0,0
#0001,Fupra,#0004,Wuturn v18.96,1,3,0,0
#0001,Guthea,#0002,Zostea,1,0,3,0
#0001,Getis,#0002,Toliv v6.73,1,2,1,0
#0004,Julea,#0006,Nostea,1,3,0,0
#0000,Dayama,#0002,Decarro,1,0,3,0
#0025,Jolea,#0023,Wehines Mk L,1,1,2,0
#0022,Manope Mk XXXVII,#0011,Yutera Mk LXXXIV,1,3,0,0
#0001,Secarro,#0017,Wonus,1,3,0,0
#0002,Huthea,Bye,Bye,1,2,0,0
#0004,Julea,#0012,Tewei v11.69,2,0,3,0
#0001,Qustea,#0001,Nonia,2,1,2,0
#0000,Nalea v36.5,#0001,Fupra,2,2,1,0
#0001,Yestea,#0000,Ioliv,2,0,3,0
#0000,Logawa,#0000,Yayama,2,1,2,0
#0023,Wehines Mk L,#0000,Petania Mk LXXXVII,2,2,1,0
#0021,Yocarro Mk XLVII,#0002,Wustea Mk LXXXVI,2,0,3,0
#0018,Iavis v40.72,#0000,Xotune v29.73,2,1,2,0
#0001,Vathea,#0016,Buwei,2,2,1,0
#0000,Yenus,#0000,Qater,2,2,1,0
#0001,Futis,#0002,Huthea,2,1,2,0
#0000,Gohiri,#0001,Getis,2,2,1,0
#0000,Ianov,#0001,Huyama,2,0,3,0
#0001,Wuter Mk XVII,#0000,Foter,2,3,0,0
#0002,Zostea,#0005,Lanus,2,2,1,0
#0000,Qalea,#0022,Manope Mk XXXVII,2,1,2,0
#0014,Honov,#0001,Sulara v35.90,2,0,3,0
#0001,Secarro,#0000,Iuzuno,2,2,1,0
#0000,Dutune,#0002,Decarro,2,1,2,0
#0001,Tenia,#0002,Zuter,2,3,0,0
#0000,Qunus,#0001,Nutera,2,2,1,0
#0019,Humia,#0000,Turilia v28.53,2,1,2,0
#0000,Hunus v28.9,#0000,Bonope,2,2,1,0
#0000,Lacarro,#0000,Henerth Mk VIII,2,2,1,0
#0000,Later,#0000,Rugawa,2,0,3,0
#0000,Rozuno,#0000,Wunus,2,1,2,0
