uid,number,squadron,name,value,weapon,gimbal,scanner,thruster,steering,chassis,startingHealth,health,damage,kills,diedAt,roundTime,width,height
Gaphus vs Cotania,#0001,Gaphus,Gaphus,0.756,Plasma Cannon,G180,SC800,T18,S10,C125,100,2,110,1,,265,1600,900
Gaphus vs Cotania,#0001,Gaphus,Woyama v47.20,0.711,Fusion Cannon,G240,SC800,T15,S12,C150,125,39,136,0,,265,1600,900
Gaphus vs Cotania,#0001,Gaphus,Samia,0.695,Plasma Cannon,G360,SC800,T18,S4,C100,75,9,190,1,,265,1600,900
Gaphus vs Cotania,#0001,Gaphus,Detania Mk LIV,0.683,Phase Rifle,G240,SC400,T20,S6,C175,150,137,64,1,,265,1600,900
Gaphus vs Cotania,#0001,Gaphus,Meruta v45.20,0.678,Pulse Rifle,G360,SC800,T15,S10,C150,125,86,78,1,,265,1600,900
Gaphus vs Cotania,#0001,Gaphus,Ganov v44.95,0.611,Phase Rifle,G60,SC600,T15,S12,C150,125,119,128,2,,265,1600,900
Gaphus vs Cotania,#0005,Cotania,Cotania,0.750,Plasma Cannon,G180,SC800,T12,S12,C150,125,-5,60,0,131.20,265,1600,900
Gaphus vs Cotania,#0005,Cotania,Qotania,0.611,Pulse Rifle,G180,SC400,T20,S10,C175,150,-2,30,0,212.51,265,1600,900
Gaphus vs Cotania,#0005,Cotania,Ioyama Mk XCVII,0.494,Phase Rifle,G120,SC300,T10,S8,C175,150,-3,128,0,145.52,265,1600,900
Gaphus vs Cotania,#0005,Cotania,Juclite v19.94,0.478,Arc Gun,G120,SC400,T12,S12,C100,75,-5,13,0,67.55,265,1600,900
Gaphus vs Cotania,#0005,Cotania,Jecury v8.29,0.355,Fusion Cannon,G180,SC400,T10,S6,C100,75,-10,32,0,76.39,265,1600,900
Gaphus vs Cotania,#0005,Cotania,Lerilia,0.334,Pulse Rifle,G60,SC300,T12,S10,C125,100,-6,45,0,265.44,265,1600,900
Sophus vs Pecury,#0006,Sophus,Sophus,0.667,Plasma Cannon,G240,SC800,T15,S4,C125,100,15,160,2,,436,1600,900
Sophus vs Pecury,#0006,Sophus,Nerilia,0.628,Phase Rifle,G180,SC600,T12,S12,C125,100,0,32,0,61.64,436,1600,900
Sophus vs Pecury,#0006,Sophus,Muthea,0.545,Pulse Rifle,G180,SC500,T15,S8,C175,150,0,84,0,285.03,436,1600,900
Sophus vs Pecury,#0006,Sophus,Ketis,0.539,Arc Gun,G60,SC800,T10,S10,C150,125,0,220,3,333.58,436,1600,900
Sophus vs Pecury,#0006,Sophus,Puliv,0.467,Arc Gun,G60,SC300,T18,S10,C125,100,55,100,0,,436,1600,900
Sophus vs Pecury,#0006,Sophus,Wophus,0.395,Pulse Rifle,G120,SC300,T12,S8,C150,125,77,15,1,,436,1600,900
Sophus vs Pecury,#0004,Pecury,Pecury,0.655,Plasma Cannon,G240,SC400,T20,S4,C150,125,-2,100,0,265.32,436,1600,900
Sophus vs Pecury,#0004,Pecury,Tanerth,0.611,Arc Gun,G360,SC600,T10,S15,C100,75,-8,47,0,252.75,436,1600,900
Sophus vs Pecury,#0004,Pecury,Ieria,0.589,Plasma Cannon,G60,SC600,T20,S8,C100,75,-8,130,0,180.23,436,1600,900
Sophus vs Pecury,#0004,Pecury,Xaphus,0.567,Pulse Rifle,G60,SC700,T15,S15,C150,125,-11,87,2,319.99,436,1600,900
Sophus vs Pecury,#0004,Pecury,Qaclite,0.417,Pulse Rifle,G90,SC800,T15,S4,C100,75,-7,45,0,217.89,436,1600,900
Sophus vs Pecury,#0004,Pecury,Ruwei Mk XC,0.411,Pulse Rifle,G240,SC500,T10,S6,C125,100,0,144,1,436.01,436,1600,900
Nonia vs Tubos,#0002,Nonia,Nonia,0.656,Fusion Cannon,G360,SC600,T12,S10,C175,150,0,104,0,821.89,822,1600,900
Nonia vs Tubos,#0002,Nonia,Henia v33.30,0.644,Pulse Rifle,G360,SC600,T18,S15,C100,75,-5,36,0,260.11,822,1600,900
Nonia vs Tubos,#0002,Nonia,Westea v48.19,0.639,Pulse Rifle,G240,SC600,T20,S6,C175,150,-2,108,2,451.86,822,1600,900
Nonia vs Tubos,#0002,Nonia,Quter,0.606,Arc Gun,G240,SC500,T12,S8,C175,150,-9,105,0,167.74,822,1600,900
Nonia vs Tubos,#0002,Nonia,Vamia,0.594,Fusion Cannon,G240,SC800,T12,S6,C150,125,-2,248,2,391.64,822,1600,900
Nonia vs Tubos,#0002,Nonia,Westea Mk LX,0.483,Pulse Rifle,G90,SC400,T10,S12,C200,200,-5,120,0,353.32,822,1600,900
Nonia vs Tubos,#0003,Tubos,Tubos,0.633,Arc Gun,G90,SC600,T10,S15,C200,200,50,368,4,,822,1600,900
Nonia vs Tubos,#0003,Tubos,Lonerth,0.633,Fusion Cannon,G120,SC700,T12,S10,C200,200,0,144,0,241.34,822,1600,900
Nonia vs Tubos,#0003,Tubos,Faliv,0.561,Plasma Cannon,G90,SC600,T20,S4,C100,75,-7,50,0,125.05,822,1600,900
Nonia vs Tubos,#0003,Tubos,Gegantu,0.550,Fusion Cannon,G180,SC500,T18,S6,C150,125,-1,152,2,362.70,822,1600,900
Nonia vs Tubos,#0003,Tubos,Fonia,0.539,Pulse Rifle,G120,SC400,T12,S15,C175,150,88,99,0,,822,1600,900
Nonia vs Tubos,#0003,Tubos,Gomia,0.461,Pulse Rifle,G90,SC400,T20,S8,C125,100,-1,60,0,359.47,822,1600,900
Gaphus vs Pecury,#0001,Gaphus,Gaphus,0.756,Plasma Cannon,G180,SC800,T18,S10,C125,100,70,140,3,,250,1600,900
Gaphus vs Pecury,#0001,Gaphus,Woyama v47.20,0.711,Fusion Cannon,G240,SC800,T15,S12,C150,125,-4,48,0,144.00,250,1600,900
Gaphus vs Pecury,#0001,Gaphus,Samia,0.695,Plasma Cannon,G360,SC800,T18,S4,C100,75,-2,100,0,161.53,250,1600,900
Gaphus vs Pecury,#0001,Gaphus,Detania Mk LIV,0.683,Phase Rifle,G240,SC400,T20,S6,C175,150,57,80,0,,250,1600,900
Gaphus vs Pecury,#0001,Gaphus,Meruta v45.20,0.678,Pulse Rifle,G360,SC800,T15,S10,C150,125,50,93,2,,250,1600,900
Gaphus vs Pecury,#0001,Gaphus,Ganov v44.95,0.611,Phase Rifle,G60,SC600,T15,S12,C150,125,25,144,1,,250,1600,900
Gaphus vs Pecury,#0004,Pecury,Pecury,0.655,Plasma Cannon,G240,SC400,T20,S4,C150,125,-4,100,0,204.13,250,1600,900
Gaphus vs Pecury,#0004,Pecury,Tanerth,0.611,Arc Gun,G360,SC600,T10,S15,C100,75,-2,93,1,192.71,250,1600,900
Gaphus vs Pecury,#0004,Pecury,Ieria,0.589,Plasma Cannon,G60,SC600,T20,S8,C100,75,-9,80,0,96.78,250,1600,900
Gaphus vs Pecury,#0004,Pecury,Xaphus,0.567,Pulse Rifle,G60,SC700,T15,S15,C150,125,-3,75,0,249.85,250,1600,900
Gaphus vs Pecury,#0004,Pecury,Qaclite,0.417,Pulse Rifle,G90,SC800,T15,S4,C100,75,-10,96,1,213.86,250,1600,900
Gaphus vs Pecury,#0004,Pecury,Ruwei Mk XC,0.411,Pulse Rifle,G240,SC500,T10,S6,C125,100,-2,60,0,170.95,250,1600,900
Cotania vs Tubos,#0005,Cotania,Cotania,0.750,Plasma Cannon,G180,SC800,T12,S12,C150,125,-5,160,1,343.89,401,1600,900
Cotania vs Tubos,#0005,Cotania,Qotania,0.611,Pulse Rifle,G180,SC400,T20,S10,C175,150,-5,57,0,227.39,401,1600,900
Cotania vs Tubos,#0005,Cotania,Ioyama Mk XCVII,0.494,Phase Rifle,G120,SC300,T10,S8,C175,150,-2,144,2,401.32,401,1600,900
Cotania vs Tubos,#0005,Cotania,Juclite v19.94,0.478,Arc Gun,G120,SC400,T12,S12,C100,75,-8,101,0,271.18,401,1600,900
Cotania vs Tubos,#0005,Cotania,Jecury v8.29,0.355,Fusion Cannon,G180,SC400,T10,S6,C100,75,-3,120,0,366.19,401,1600,900
Cotania vs Tubos,#0005,Cotania,Lerilia,0.334,Pulse Rifle,G60,SC300,T12,S10,C125,100,-4,24,0,119.10,401,1600,900
Cotania vs Tubos,#0003,Tubos,Tubos,0.633,Arc Gun,G90,SC600,T10,S15,C200,200,164,198,4,,401,1600,900
Cotania vs Tubos,#0003,Tubos,Lonerth,0.633,Fusion Cannon,G120,SC700,T12,S10,C200,200,94,176,0,,401,1600,900
Cotania vs Tubos,#0003,Tubos,Faliv,0.561,Plasma Cannon,G90,SC600,T20,S4,C100,75,-9,100,1,188.94,401,1600,900
Cotania vs Tubos,#0003,Tubos,Gegantu,0.550,Fusion Cannon,G180,SC500,T18,S6,C150,125,9,144,1,,401,1600,900
Cotania vs Tubos,#0003,Tubos,Fonia,0.539,Pulse Rifle,G120,SC400,T12,S15,C175,150,-10,66,0,309.81,401,1600,900
Cotania vs Tubos,#0003,Tubos,Gomia,0.461,Pulse Rifle,G90,SC400,T20,S8,C125,100,-4,18,0,150.81,401,1600,900
Sophus vs Nonia,#0006,Sophus,Sophus,0.667,Plasma Cannon,G240,SC800,T15,S4,C125,100,-2,120,0,164.92,387,1600,900
Sophus vs Nonia,#0006,Sophus,Nerilia,0.628,Phase Rifle,G180,SC600,T12,S12,C125,100,-5,96,0,203.85,387,1600,900
Sophus vs Nonia,#0006,Sophus,Muthea,0.545,Pulse Rifle,G180,SC500,T15,S8,C175,150,0,99,0,386.86,387,1600,900
Sophus vs Nonia,#0006,Sophus,Ketis,0.539,Arc Gun,G60,SC800,T10,S10,C150,125,0,166,1,381.83,387,1600,900
Sophus vs Nonia,#0006,Sophus,Puliv,0.467,Arc Gun,G60,SC300,T18,S10,C125,100,-6,72,0,261.66,387,1600,900
Sophus vs Nonia,#0006,Sophus,Wophus,0.395,Pulse Rifle,G120,SC300,T12,S8,C150,125,-9,57,0,209.57,387,1600,900
Sophus vs Nonia,#0002,Nonia,Nonia,0.656,Fusion Cannon,G360,SC600,T12,S10,C175,150,34,104,0,,387,1600,900
Sophus vs Nonia,#0002,Nonia,Henia v33.30,0.644,Pulse Rifle,G360,SC600,T18,S15,C100,75,-6,90,0,340.20,387,1600,900
Sophus vs Nonia,#0002,Nonia,Westea v48.19,0.639,Pulse Rifle,G240,SC600,T20,S6,C175,150,50,75,1,,387,1600,900
Sophus vs Nonia,#0002,Nonia,Quter,0.606,Arc Gun,G240,SC500,T12,S8,C175,150,19,231,2,,387,1600,900
Sophus vs Nonia,#0002,Nonia,Vamia,0.594,Fusion Cannon,G240,SC800,T12,S6,C150,125,33,168,3,,387,1600,900
Sophus vs Nonia,#0002,Nonia,Westea Mk LX,0.483,Pulse Rifle,G90,SC400,T10,S12,C200,200,110,54,0,,387,1600,900
Gaphus vs Tubos,#0001,Gaphus,Gaphus,0.756,Plasma Cannon,G180,SC800,T18,S10,C125,100,-2,80,0,147.31,500,1600,900
Gaphus vs Tubos,#0001,Gaphus,Woyama v47.20,0.711,Fusion Cannon,G240,SC800,T15,S12,C150,125,0,264,2,500.38,500,1600,900
Gaphus vs Tubos,#0001,Gaphus,Samia,0.695,Plasma Cannon,G360,SC800,T18,S4,C100,75,-4,140,1,245.83,500,1600,900
Gaphus vs Tubos,#0001,Gaphus,Detania Mk LIV,0.683,Phase Rifle,G240,SC400,T20,S6,C175,150,-8,192,2,464.51,500,1600,900
Gaphus vs Tubos,#0001,Gaphus,Meruta v45.20,0.678,Pulse Rifle,G360,SC800,T15,S10,C150,125,-4,102,0,300.83,500,1600,900
Gaphus vs Tubos,#0001,Gaphus,Ganov v44.95,0.611,Phase Rifle,G60,SC600,T15,S12,C150,125,-5,64,0,53.99,500,1600,900
Gaphus vs Tubos,#0003,Tubos,Tubos,0.633,Arc Gun,G90,SC600,T10,S15,C200,200,44,263,3,,500,1600,900
Gaphus vs Tubos,#0003,Tubos,Lonerth,0.633,Fusion Cannon,G120,SC700,T12,S10,C200,200,-6,216,1,246.01,500,1600,900
Gaphus vs Tubos,#0003,Tubos,Faliv,0.561,Plasma Cannon,G90,SC600,T20,S4,C100,75,-9,110,0,290.14,500,1600,900
Gaphus vs Tubos,#0003,Tubos,Gegantu,0.550,Fusion Cannon,G180,SC500,T18,S6,C150,125,-11,104,2,462.75,500,1600,900
Gaphus vs Tubos,#0003,Tubos,Fonia,0.539,Pulse Rifle,G120,SC400,T12,S15,C175,150,-3,15,0,203.40,500,1600,900
Gaphus vs Tubos,#0003,Tubos,Gomia,0.461,Pulse Rifle,G90,SC400,T20,S8,C125,100,-7,15,0,64.98,500,1600,900
Pecury vs Nonia,#0004,Pecury,Pecury,0.655,Plasma Cannon,G240,SC400,T20,S4,C150,125,-1,180,0,275.02,275,1600,900
Pecury vs Nonia,#0004,Pecury,Tanerth,0.611,Arc Gun,G360,SC600,T10,S15,C100,75,-3,64,0,148.11,275,1600,900
Pecury vs Nonia,#0004,Pecury,Ieria,0.589,Plasma Cannon,G60,SC600,T20,S8,C100,75,-2,50,0,163.58,275,1600,900
Pecury vs Nonia,#0004,Pecury,Xaphus,0.567,Pulse Rifle,G60,SC700,T15,S15,C150,125,-5,39,0,160.18,275,1600,900
