uid,number,squadron,highScore,rank,width,height
CaiWy6,#0001,Squadron Gaphus,259700,8,1240,720
alky9l,#0001,Squadron Gaphus,293700,9,1240,720
QoAcXI,#0001,Squadron Gaphus,324100,10,1240,720
SCElFa,#0001,Squadron Gaphus,494600,15,1240,720
l7NQcZ,#0001,Squadron Gaphus,92900,3,1240,720
dQ4x4u,#0002,Squadron Nonia,323400,10,1240,720
GBEi3g,#0002,Squadron Nonia,460300,14,1240,720
rTM6GZ,#0002,Squadron Nonia,200900,6,1240,720
EE3yG8,#0002,Squadron Nonia,398300,12,1240,720
dJeJq1,#0002,Squadron Nonia,259000,8,1240,720
EWPgnc,#0003,Squadron Tubos,98000,3,1240,720
dydZbr,#0003,Squadron Tubos,9000,0,1240,720
mymiyF,#0003,Squadron Tubos,77500,2,1240,720
yKcmVI,#0003,Squadron Tubos,112900,3,1240,720
6amsi1,#0003,Squadron Tubos,98500,3,1240,720
BoTjCl,#0004,Squadron Pecury,10300,0,1240,720
wlEx6K,#0004,Squadron Pecury,9300,0,1240,720
PVzFSG,#0004,Squadron Pecury,24800,0,1240,720
d8gK0s,#0004,Squadron Pecury,4800,0,1240,720
0iqMsx,#0004,Squadron Pecury,0,0,1240,720
l2R6Nt,#0005,Squadron Cotania,9300,0,1240,720
5XEKRj,#0005,Squadron Cotania,0,0,1240,720
FGUX2Y,#0005,Squadron Cotania,45500,1,1240,720
xGxV9f,#0005,Squadron Cotania,70000,2,1240,720
xRFeBu,#0005,Squadron Cotania,14300,0,1240,720
kgaJ9c,#0006,Squadron Sophus,68500,2,1240,720
FEovXV,#0006,Squadron Sophus,23800,0,1240,720
Vp0SeM,#0006,Squadron Sophus,9100,0,1240,720
dQjNWC,#0006,Squadron Sophus,9000,0,1240,720
IZjVpq,#0006,Squadron Sophus,52800,1,1240,720
fqZUrq,#0007,Squadron Nostea,14500,0,1240,720
2TYpFz,#0007,Squadron Nostea,19100,0,1240,720
2EH1WH,#0007,Squadron Nostea,98000,3,1240,720
5Gr1ga,#0007,Squadron Nostea,67300,2,1240,720
rxBsEB,#0007,Squadron Nostea,102100,3,1240,720
A2zN8g,#0008,Squadron Tepra,17800,0,1240,720
EEB8nT,#0008,Squadron Tepra,74200,2,1240,720
en3lBv,#0008,Squadron Tepra,9000,0,1240,720
V1kX0Z,#0008,Squadron Tepra,19300,0,1240,720
9WTmzN,#0008,Squadron Tepra,13300,0,1240,720
UO21MG,#0009,Squadron Relia v12.42,13300,0,1240,720
CNwedQ,#0009,Squadron Relia v12.42,48400,1,1240,720
JpW2ox,#0009,Squadron Relia v12.42,9100,0,1240,720
Y9QNQf,#0009,Squadron Relia v12.42,98500,3,1240,720
5DIeEM,#0009,Squadron Relia v12.42,19500,0,1240,720
NJTbyA,#0010,Squadron Xocury,20600,0,1240,720
