playerOneNumber,playerOne,playerTwoNumber,playerTwo,round,playerOneWins,playerTwoWins,draws
#0062,Nanov,#0002,Nonia,1,1,2,0
#0025,Iapra,#0114,Negantu,1,0,3,0
#0043,Dayama,#0135,Durus v12.47,1,0,3,0
#0089,Lanus,#0061,Wuturn v18.96,1,2,1,0
#0015,Honov,#0068,Fucury,1,3,0,0
#0104,Nutera,#0044,Wunus,1,1,2,0
#0045,Futer,#0021,Selea,1,0,3,0
#0054,Halea v22.63,#0128,Xetune,1,0,3,0
#0137,Juzuno v16.41,#0113,Kunope,1,1,2,0
#0084,Iuzuno,#0130,Doruta,1,0,3,0
#0060,Tonides,#0096,Funerth,1,0,3,0
#0051,Xaturn,#0119,Xunus Mk XII,1,0,3,0
#0110,Keclite,#0049,Ronus v28.11,1,2,1,0
#0069,Bonope,#0078,Zuter,1,3,0,0
#0112,Matania,#0075,Jenides,1,2,1,0
#0018,Buwei,#0012,Yutera Mk LXXXIV,1,3,0,0
#0008,Tepra,#0072,Xulia,1,2,1,0
#0127,Quwei,#0149,Futurn Mk LXXIX,1,1,2,0
#0027,Yutania,#0024,Wehines Mk L,1,0,3,0
#0063,Logawa,#0086,Peturn,1,3,0,0
#0115,Lethea Mk XCVII,#0034,Pucury v46.28,1,2,1,0
#0065,Huthea,#0134,Tetune,1,0,3,0
#0004,Pecury,#0029,Nehiri,1,1,2,0
#0152,Koturn,#0120,Waria v41.6,1,3,0,0
#0028,Senus Mk XLIX,#0140,Jeliv,1,3,0,0
#0126,Wanus v30.81,#0145,Yolia v39.2,1,0,3,0
#0144,Muhiri v31.23,#0125,Soter v3.44,1,2,1,0
#0077,Vucarro v33.11,#0074,Petania Mk LXXXVII,1,0,3,0
#0095,Rugawa,#0007,Nostea,1,3,0,0
#0039,Cuvis,#0136,Tuvis,1,0,3,0
#0079,Dutune,#0088,Julea,1,1,2,0
#0009,Relia v12.42,#0121,Sugantu,1,2,1,0
#0131,Iunus v35.24,#0098,Suria Mk XCVII,1,0,3,0
#0055,Sulara v35.90,#0056,Wahiri Mk LXXIV,1,3,0,0
#0133,Felea,#0103,Xotune v29.73,1,2,1,0
#0040,Wuter Mk XVII,#0142,Nuthea,1,0,3,0
#0092,Yestea,#0132,Vetania,1,0,3,0
#0031,Ianov,#0022,Yocarro Mk XLVII,1,3,0,0
#0070,Qunus,#0037,Decarro,1,0,3,0
#0081,Wustea Mk LXXXVI,#0124,Fanov v33.40,1,3,0,0
#0020,Humia,#0047,Futis,1,2,1,0
#0033,Lacarro,#0105,Nalea v36.5,1,0,3,0
#0014,Qewei Mk XCV,#0087,Doyama Mk VII,1,0,3,0
#0138,Bowei,#0066,Ferilia,1,3,0,0
#0143,Ronope Mk LXVIII,#0067,Rozuno,1,2,1,0
#0013,Tewei v11.69,#0057,Ienov,1,3,0,0
#0108,Getis,#0097,Foter,1,1,2,0
#0006,Sophus,#0041,Toliv v6.73,1,3,0,0
#0071,Secarro,#0094,Monus,1,1,2,0
#0064,Zoclite,#0102,Huyama,1,0,3,0
#0076,Qater,#0036,Tenia,1,1,2,0
#0118,Pucarro,#0052,Qustea,1,3,0,0
#0059,Qewei,#0016,Purilia Mk XXXV,1,1,2,0
#0001,Gaphus,#0151,Iutov,1,1,2,0
#0005,Cotania,#0093,Megantu,1,2,1,0
#0026,Jolea,#0122,Wanope,1,0,3,0
#0129,Peter,#0050,Dovis v46.22,1,2,1,0
#0146,Yonia,#0111,Herilia v14.82,1,0,3,0
#0058,Guthea,#0030,Yenus,1,0,3,0
#0085,Fupra,#0091,Qalea,1,2,1,0
#0153,Mustea Mk XIII,#0107,Danov,1,0,3,0
#0035,Haruta Mk XLIX,#0048,Yayama,1,2,1,0
#0080,Fuwei,#0148,Juter Mk LXVII,1,2,1,0
#0100,Turilia v28.53,#0017,Wonus,1,0,3,0
#0117,Cethea,#0019,Iavis v40.72,1,0,3,0
#0053,Zostea,#0090,Gohiri,1,2,1,0
#0010,Xocury,#0011,Wuwei v12.30,1,1,2,0
#0139,Konus Mk LVIII,#0109,Ioliv,1,0,3,0
#0123,Fatera,#0082,Qaturn,1,2,1,0
#0116,Soria,#0106,Jatania,1,2,1,0
#0101,Fabos,#0042,Potera,1,2,1,0
#0038,Selia,#0023,Manope Mk XXXVII,1,1,2,0
#0003,Tubos,#0150,Nunerth,1,2,1,0
#0032,Later,#0046,Henerth Mk VIII,1,2,1,0
#0083,Hunus v28.9,#0147,Totera,1,0,3,0
#0099,Vathea,#0141,Quphus,1,3,0,0
#0073,Vophus,Bye,Bye,1,2,0,0
#0111,Herilia v14.82,#0013,Tewei v11.69,2,1,2,0
#0142,Nuthea,#0123,Fatera,2,2,1,0
#0095,Rugawa,#0087,Doyama Mk VII,2,2,1,0
#0029,Nehiri,#0055,Sulara v35.90,2,0,3,0
#0133,Felea,#0115,Lethea Mk XCVII,2,3,0,0
#0118,Pucarro,#0144,Muhiri v31.23,2,2,1,0
#0152,Koturn,#0017,Wonus,2,1,2,0
#0138,Bowei,#0096,Funerth,2,1,2,0
#0122,Wanope,#0005,Cotania,2,3,0,0
#0011,Wuwei v12.30,#0151,Iutov,2,1,2,0
#0136,Tuvis,#0094,Monus,2,1,2,0
#0107,Danov,#0020,Humia,2,3,0,0
#0149,Futurn Mk LXXIX,#0097,Foter,2,3,0,0
#0073,Vophus,#0081,Wustea Mk LXXXVI,2,0,3,0
#0006,Sophus,#0030,Yenus,2,0,3,0
#0037,Decarro,#0028,Senus Mk XLIX,2,2,1,0
#0021,Selea,#0128,Xetune,2,0,3,0
#0023,Manope Mk XXXVII,#0016,Purilia Mk XXXV,2,2,1,0
#0113,Kunope,#0109,Ioliv,2,1,2,0
#0098,Suria Mk XCVII,#0088,Julea,2,0,3,0
#0003,Tubos,#0145,Yolia v39.2,2,0,3,0
#0018,Buwei,#0035,Haruta Mk XLIX,2,0,3,0
#0036,Tenia,#0114,Negantu,2,1,2,0
#0069,Bonope,#0102,Huyama,2,0,3,0
#0130,Doruta,#0129,Peter,2,3,0,0
