playerOneNumber,playerOne,playerTwoNumber,playerTwo,round,playerOneWins,playerTwoWins,draws
#0012,Yutera Mk LXXXIV,#0112,Matania,1,0,3,0
#0078,Zuter,#0128,Xetune,1,0,3,0
#0026,Jolea,#0111,Herilia v14.82,1,0,3,0
#0016,Purilia Mk XXXV,#0084,Iuzuno,1,2,1,0
#0069,Bonope,#0051,Xaturn,1,3,0,0
#0070,Qunus,#0097,Foter,1,1,2,0
#0020,Humia,#0076,Qater,1,0,3,0
#0074,Petania Mk LXXXVII,#0040,Wuter Mk XVII,1,3,0,0
#0025,Iapra,#0137,Juzuno v16.41,1,0,3,0
#0098,Suria Mk XCVII,#0068,Fucury,1,2,1,0
#0039,Cuvis,#0101,Fabos,1,2,1,0
#0106,Jatania,#0065,Huthea,1,3,0,0
#0104,Nutera,#0058,Guthea,1,0,3,0
#0132,Vetania,#0042,Potera,1,0,3,0
#0011,Wuwei v12.30,#0021,Selea,1,0,3,0
#0004,Pecury,#0003,Tubos,1,0,3,0
#0006,Sophus,#0127,Quwei,1,1,2,0
#0029,Nehiri,#0050,Dovis v46.22,1,2,1,0
#0062,Nanov,#0028,Senus Mk XLIX,1,0,3,0
#0126,Wanus v30.81,#0031,Ianov,1,0,3,0
#0041,Toliv v6.73,#0036,Tenia,1,0,3,0
#0095,Rugawa,#0064,Zoclite,1,3,0,0
#0130,Doruta,#0010,Xocury,1,3,0,0
#0067,Rozuno,#0057,Ienov,1,1,2,0
#0013,Tewei v11.69,#0035,Haruta Mk XLIX,1,1,2,0
#0024,Wehines Mk L,#0120,Waria v41.6,1,0,3,0
#0109,Ioliv,#0054,Halea v22.63,1,3,0,0
#0043,Dayama,#0030,Yenus,1,0,3,0
#0089,Lanus,#0022,Yocarro Mk XLVII,1,3,0,0
#0073,Vophus,#0117,Cethea,1,0,3,0
#0135,Durus v12.47,#0048,Yayama,1,0,3,0
#0080,Fuwei,#0131,Iunus v35.24,1,3,0,0
#0087,Doyama Mk VII,#0049,Ronus v28.11,1,3,0,0
#0059,Qewei,#0046,Henerth Mk VIII,1,2,1,0
#0119,Xunus Mk XII,#0018,Buwei,1,2,1,0
#0136,Tuvis,#0052,Qustea,1,3,0,0
#0103,Xotune v29.73,#0045,Futer,1,3,0,0
#0056,Wahiri Mk LXXIV,#0099,Vathea,1,2,1,0
#0005,Cotania,#0121,Sugantu,1,2,1,0
#0023,Manope Mk XXXVII,#0071,Secarro,1,0,3,0
#0124,Fanov v33.40,#0047,Futis,1,3,0,0
#0037,Decarro,#0123,Fatera,1,2,1,0
#0141,Quphus,#0075,Jenides,1,0,3,0
#0027,Yutania,#0129,Peter,1,3,0,0
#0015,Honov,#0038,Selia,1,3,0,0
#0116,Soria,#0032,Later,1,3,0,0
#0107,Danov,#0008,Tepra,1,1,2,0
#0138,Bowei,#0094,Monus,1,0,3,0
#0044,Wunus,#0066,Ferilia,1,1,2,0
#0060,Tonides,#0118,Pucarro,1,0,3,0
#0082,Qaturn,#0077,Vucarro v33.11,1,2,1,0
#0072,Xulia,#0088,Julea,1,0,3,0
#0096,Funerth,#0085,Fupra,1,3,0,0
#0093,Megantu,#0063,Logawa,1,0,3,0
#0134,Tetune,#0100,Turilia v28.53,1,1,2,0
#0139,Konus Mk LVIII,#0110,Keclite,1,0,3,0
#0014,Qewei Mk XCV,#0091,Qalea,1,0,3,0
#0114,Negantu,#0083,Hunus v28.9,1,3,0,0
#0053,Zostea,#0108,Getis,1,3,0,0
#0019,Iavis v40.72,#0017,Wonus,1,1,2,0
