uid,number,squadron,highScore,rank,width,height
Px8NWw,#0001,Squadron Gaphus,8800,0,800,800
SzFfqO,#0001,Squadron Gaphus,38700,1,800,800
e9U06U,#0001,Squadron Gaphus,285700,9,800,800
4PkKKQ,#0002,Squadron Nonia,387800,12,800,800
JktdE3,#0002,Squadron Nonia,15100,0,800,800
8voehE,#0002,Squadron Nonia,98600,3,800,800
enHYJx,#0003,Squadron Tubos,93400,3,800,800
qrJ6Ut,#0003,Squadron Tubos,128200,4,800,800
UFGchK,#0003,Squadron Tubos,93400,3,800,800
aXKIAm,#0004,Squadron Pecury,9300,0,800,800
ebbkRo,#0004,Squadron Pecury,9100,0,800,800
k2hg1Q,#0004,Squadron Pecury,62200,2,800,800
Bi1OgW,#0005,Squadron Cotania,13300,0,800,800
sYRKNJ,#0005,Squadron Cotania,94000,3,800,800
cA1EQO,#0005,Squadron Cotania,97500,3,800,800
SxH5K0,#0006,Squadron Sophus,98500,3,800,800
wUo54w,#0006,Squadron Sophus,0,0,800,800
VQuAeI,#0006,Squadron Sophus,9000,0,800,800
9JclS6,#0007,Squadron Nostea,98000,3,800,800
xQI3cC,#0007,Squadron Nostea,76000,2,800,800
lSPjeg,#0007,Squadron Nostea,384500,12,800,800
XfqRRS,#0008,Squadron Tepra,8500,0,800,800
r8P0Ni,#0008,Squadron Tepra,98500,3,800,800
r4x40A,#0008,Squadron Tepra,79100,2,800,800
5lU1oF,#0009,Squadron Relia v12.42,107900,3,800,800
EwsDnV,#0009,Squadron Relia v12.42,38000,1,800,800
tGVV2L,#0009,Squadron Relia v12.42,14200,0,800,800
qxlYT1,#0010,Squadron Xocury,6000,0,800,800
rcioJ9,#0010,Squadron Xocury,17800,0,800,800
QtPoD8,#0010,Squadron Xocury,25000,0,800,800
0yR2iU,#0011,Squadron Wuwei v12.30,4800,0,800,800
cyUJ6T,#0011,Squadron Wuwei v12.30,52800,1,800,800
2UaUWn,#0011,Squadron Wuwei v12.30,93400,3,800,800
sIWZNJ,#0012,Squadron Yutera Mk LXXXIV,13000,0,800,800
HCMfcD,#0012,Squadron Yutera Mk LXXXIV,67900,2,800,800
LsZCnK,#0012,Squadron Yutera Mk LXXXIV,72500,2,800,800
MUWXxq,#0013,Squadron Tewei v11.69,108800,3,800,800
m2UvQf,#0013,Squadron Tewei v11.69,604100,19,800,800
qRsUzc,#0013,Squadron Tewei v11.69,653800,20,800,800
STlay9,#0014,Squadron Qewei Mk XCV,4300,0,800,800
lbcwO2,#0014,Squadron Qewei Mk XCV,23300,0,800,800
dUurgh,#0014,Squadron Qewei Mk XCV,32800,1,800,800
uWClzh,#0015,Squadron Honov,97500,3,800,800
ejVWrS,#0015,Squadron Honov,76600,2,800,800
Wk5a35,#0015,Squadron Honov,43200,1,800,800
ZPmeom,#0016,Squadron Purilia Mk XXXV,99100,3,800,800
jbwXkd,#0016,Squadron Purilia Mk XXXV,24800,0,800,800
uJVWWG,#0016,Squadron Purilia Mk XXXV,9300,0,800,800
BCjqbj,#0017,Squadron Wonus,648700,20,800,800
EmGbfB,#0017,Squadron Wonus,382300,12,800,800
MtwzPK,#0017,Squadron Wonus,377800,12,800,800
IWbpKA,#0018,Squadron Buwei,93400,3,800,800
L2veSI,#0018,Squadron Buwei,78200,2,800,800
0vE0wu,#0018,Squadron Buwei,66200,2,800,800
HGKEur,#0019,Squadron Iavis v40.72,1257500,38,800,800
bzhSjw,#0019,Squadron Iavis v40.72,609200,19,800,800
GSTGww,#0019,Squadron Iavis v40.72,609900,19,800,800
JlyMHL,#0020,Squadron Humia,113600,3,800,800
K6VbLF,#0020,Squadron Humia,67400,2,800,800
DBYUqa,#0020,Squadron Humia,283200,9,800,800
CPmQe9,#0021,Squadron Selea,98100,3,800,800
5WIhQc,#0021,Squadron Selea,392400,12,800,800
VvS0uh,#0021,Squadron Selea,609900,19,800,800
6glbIX,#0022,Squadron Yocarro Mk XLVII,13300,0,800,800
GZjYGf,#0022,Squadron Yocarro Mk XLVII,77500,2,800,800
tQrdtA,#0022,Squadron Yocarro Mk XLVII,107800,3,800,800
tn5Lpd,#0023,Squadron Manope Mk XXXVII,9300,0,800,800
uGjR6P,#0023,Squadron Manope Mk XXXVII,13500,0,800,800
balDgT,#0023,Squadron Manope Mk XXXVII,93400,3,800,800
jREaPd,#0024,Squadron Wehines Mk L,93400,3,800,800
vxujiE,#0024,Squadron Wehines Mk L,103200,3,800,800
JGbC1D,#0024,Squadron Wehines Mk L,4500,0,800,800
u5JUIT,#0025,Squadron Iapra,92400,3,800,800
IA2PSC,#0025,Squadron Iapra,99100,3,800,800
HAaQDP,#0025,Squadron Iapra,103900,3,800,800
cVXW8e,#0026,Squadron Jolea,4300,0,800,800
1oIZmQ,#0026,Squadron Jolea,97500,3,800,800
slCIzO,#0026,Squadron Jolea,67400,2,800,800
Kpikhd,#0027,Squadron Yutania,4200,0,800,800
guzrdk,#0027,Squadron Yutania,9000,0,800,800
UybqJu,#0027,Squadron Yutania,4500,0,800,800
3NJrOH,#0028,Squadron Senus Mk XLIX,317800,10,800,800
fGA3uo,#0028,Squadron Senus Mk XLIX,614300,19,800,800
iT19hb,#0028,Squadron Senus Mk XLIX,98600,3,800,800
SNDpez,#0029,Squadron Nehiri,23300,0,800,800
258TTE,#0029,Squadron Nehiri,93400,3,800,800
LeeUzX,#0029,Squadron Nehiri,13300,0,800,800
zAMfHr,#0030,Squadron Yenus,614200,19,800,800
Cwb8xX,#0030,Squadron Yenus,393600,12,800,800
tbhv0W,#0030,Squadron Yenus,455500,14,800,800
a8Od3S,#0031,Squadron Ianov,614400,19,800,800
ibG3YG,#0031,Squadron Ianov,620600,19,800,800
1O2Dbk,#0031,Squadron Ianov,458800,14,800,800
zmpZGX,#0032,Squadron Later,19100,0,800,800
NJb8BD,#0032,Squadron Later,77500,2,800,800
jDajXV,#0032,Squadron Later,4300,0,800,800
LQwTli,#0033,Squadron Lacarro,76000,2,800,800
TILN3L,#0033,Squadron Lacarro,42900,1,800,800
6krrpC,#0033,Squadron Lacarro,13300,0,800,800
qzTFFP,#0034,Squadron Pucury v46.28,196100,6,800,800
zAuFMv,#0034,Squadron Pucury v46.28,102700,3,800,800
hWEgfh,#0034,Squadron Pucury v46.28,38000,1,800,800
VlZw3c,#0035,Squadron Haruta Mk XLIX,297300,9,800,800
NklEIh,#0035,Squadron Haruta Mk XLIX,496200,15,800,800
qVAuLr,#0035,Squadron Haruta Mk XLIX,609200,19,800,800
FqXShp,#0036,Squadron Tenia,198100,6,800,800
Z6HJCA,#0036,Squadron Tenia,104900,3,800,800
4SG5GJ,#0036,Squadron Tenia,255200,8,800,800
yhmB6r,#0037,Squadron Decarro,622100,19,800,800
hkBlXN,#0037,Squadron Decarro,20600,0,800,800
ckHAZ5,#0037,Squadron Decarro,474700,15,800,800
58L5iF,#0038,Squadron Selia,19600,0,800,800
xrPCRL,#0038,Squadron Selia,14300,0,800,800
UlGNEr,#0038,Squadron Selia,4500,0,800,800
jcOq3u,#0039,Squadron Cuvis,20500,0,800,800
StamY0,#0039,Squadron Cuvis,103200,3,800,800
Q7iWcA,#0039,Squadron Cuvis,20600,0,800,800
x0Jowo,#0040,Squadron Wuter Mk XVII,14600,0,800,800
5nhP02,#0040,Squadron Wuter Mk XVII,8700,0,800,800
vGw6VG,#0040,Squadron Wuter Mk XVII,92900,3,800,800
ZPX4RU,#0041,Squadron Toliv v6.73,52800,1,800,800
nnPVzs,#0041,Squadron Toliv v6.73,14700,0,800,800
SsmHF4,#0041,Squadron Toliv v6.73,42200,1,800,800
FsxIku,#0042,Squadron Potera,72600,2,800,800
odqNwY,#0042,Squadron Potera,19500,0,800,800
velH5I,#0042,Squadron Potera,5500,0,800,800
H4WhaM,#0043,Squadron Dayama,455700,14,800,800
VIdRYe,#0043,Squadron Dayama,113600,3,800,800
XjuGTm,#0043,Squadron Dayama,614300,19,800,800
9siPl4,#0044,Squadron Wunus,99200,3,800,800
M5ZemY,#0044,Squadron Wunus,93400,3,800,800
UT8C5a,#0044,Squadron Wunus,93400,3,800,800
P8328y,#0045,Squadron Futer,0,0,800,800
FzX600,#0045,Squadron Futer,38900,1,800,800
qfMdbG,#0045,Squadron Futer,4800,0,800,800
8SNjcf,#0046,Squadron Henerth Mk VIII,13600,0,800,800
4jggd6,#0046,Squadron Henerth Mk VIII,47600,1,800,800
EupY9l,#0046,Squadron Henerth Mk VIII,74200,2,800,800
0a8sIK,#0047,Squadron Futis,77900,2,800,800
0ny20V,#0047,Squadron Futis,14600,0,800,800
mj0xMJ,#0047,Squadron Futis,88300,3,800,800
vMSN7B,#0048,Squadron Yayama,114100,3,800,800
CEmb8k,#0048,Squadron Yayama,393300,12,800,800
GJiE62,#0048,Squadron Yayama,604700,19,800,800
lCguDk,#0049,Squadron Ronus v28.11,177500,5,800,800
P0WXSG,#0049,Squadron Ronus v28.11,296200,9,800,800
coqCH5,#0049,Squadron Ronus v28.11,102100,3,800,800
iG8wvR,#0050,Squadron Dovis v46.22,9000,0,800,800
1W0ajI,#0050,Squadron Dovis v46.22,13600,0,800,800
pDVqno,#0050,Squadron Dovis v46.22,9100,0,800,800
tZ5IcP,#0051,Squadron Xaturn,0,0,800,800
L3KSBq,#0051,Squadron Xaturn,0,0,800,800
A7qrc3,#0051,Squadron Xaturn,4800,0,800,800
ejGJBF,#0052,Squadron Qustea,23300,0,800,800
thihS3,#0052,Squadron Qustea,15000,0,800,800
j8RJGv,#0052,Squadron Qustea,74400,2,800,800
pTe6bQ,#0053,Squadron Zostea,476400,15,800,800
wXmqWe,#0053,Squadron Zostea,239700,7,800,800
oc5DxA,#0053,Squadron Zostea,302500,9,800,800
popkln,#0054,Squadron Halea v22.63,88300,3,800,800
Zuqijj,#0054,Squadron Halea v22.63,10800,0,800,800
fUvDe3,#0054,Squadron Halea v22.63,9000,0,800,800
HNI0k9,#0055,Squadron Sulara v35.90,1093300,33,800,800
IHvW6Q,#0055,Squadron Sulara v35.90,691700,21,800,800
kBgvdE,#0055,Squadron Sulara v35.90,459100,14,800,800
B6kpvI,#0056,Squadron Wahiri Mk LXXIV,112900,3,800,800
rW2Swv,#0056,Squadron Wahiri Mk LXXIV,109500,3,800,800
oUVBMZ,#0056,Squadron Wahiri Mk LXXIV,455700,14,800,800
FmU6vE,#0057,Squadron Ienov,266900,8,800,800
XAdUGF,#0057,Squadron Ienov,92400,3,800,800
zIcLHc,#0057,Squadron Ienov,23300,0,800,800
sODKD2,#0058,Squadron Guthea,271700,8,800,800
bTTIh3,#0058,Squadron Guthea,259700,8,800,800
h9ZU0H,#0058,Squadron Guthea,98500,3,800,800
eytml6,#0059,Squadron Qewei,108300,3,800,800
