uid,number,squadron,highScore,rank,width,height
bWSDDD,#0059,Squadron Qewei,13500,0,800,800
reRmdk,#0059,Squadron Qewei,112900,3,800,800
OCVX1h,#0060,Squadron Tonides,10000,0,800,800
fsRGuA,#0060,Squadron Tonides,14500,0,800,800
oUTH0O,#0060,Squadron Tonides,4800,0,800,800
S2DtA1,#0061,Squadron Wuturn v18.96,14800,0,800,800
fcI60G,#0061,Squadron Wuturn v18.96,108300,3,800,800
ETL1Sb,#0061,Squadron Wuturn v18.96,83600,2,800,800
N9apms,#0062,Squadron Nanov,69100,2,800,800
jncPoe,#0062,Squadron Nanov,360800,11,800,800
cXDbmy,#0062,Squadron Nanov,355100,11,800,800
16C5OW,#0063,Squadron Logawa,99100,3,800,800
5UXHZh,#0063,Squadron Logawa,107800,3,800,800
IbOyeE,#0063,Squadron Logawa,99100,3,800,800
6rYXpB,#0064,Squadron Zoclite,383300,12,800,800
9WoDvj,#0064,Squadron Zoclite,249100,8,800,800
miyvqz,#0064,Squadron Zoclite,458800,14,800,800
t0hSH9,#0065,Squadron Huthea,97500,3,800,800
SGLbYp,#0065,Squadron Huthea,18800,0,800,800
KAyK9d,#0065,Squadron Huthea,71300,2,800,800
mevJJz,#0066,Squadron Ferilia,14600,0,800,800
j6edmW,#0066,Squadron Ferilia,97000,3,800,800
MPqRhl,#0066,Squadron Ferilia,107900,3,800,800
6XQXyq,#0067,Squadron Rozuno,67800,2,800,800
HuSEHZ,#0067,Squadron Rozuno,83600,2,800,800
9uFXVR,#0067,Squadron Rozuno,81700,2,800,800
tqOFRF,#0068,Squadron Fucury,4200,0,800,800
93sIe2,#0068,Squadron Fucury,99800,3,800,800
YNIPHQ,#0068,Squadron Fucury,19300,0,800,800
b1DUE5,#0069,Squadron Bonope,25000,0,800,800
sYwsmE,#0069,Squadron Bonope,88300,3,800,800
czoNST,#0069,Squadron Bonope,20200,0,800,800
xsi050,#0070,Squadron Qunus,13600,0,800,800
JzbzqY,#0070,Squadron Qunus,92400,3,800,800
Rof2mY,#0070,Squadron Qunus,15100,0,800,800
DqKzFr,#0071,Squadron Secarro,42900,1,800,800
F12pAM,#0071,Squadron Secarro,97500,3,800,800
qhCeXi,#0071,Squadron Secarro,463400,14,800,800
B6nqW0,#0072,Squadron Xulia,4800,0,800,800
vy9JGd,#0072,Squadron Xulia,9000,0,800,800
DExdfo,#0072,Squadron Xulia,4800,0,800,800
r4oU7w,#0073,Squadron Vophus,18800,0,800,800
mLmaRW,#0073,Squadron Vophus,48400,1,800,800
4l9fuG,#0073,Squadron Vophus,9800,0,800,800
xPn7aG,#0074,Squadron Petania Mk LXXXVII,587400,18,800,800
YjDaR0,#0074,Squadron Petania Mk LXXXVII,107200,3,800,800
x7hM5e,#0074,Squadron Petania Mk LXXXVII,455200,14,800,800
tcvMR7,#0075,Squadron Jenides,16300,0,800,800
VmEp9z,#0075,Squadron Jenides,103300,3,800,800
tnN3iL,#0075,Squadron Jenides,16300,0,800,800
3l2kHJ,#0076,Squadron Qater,356200,11,800,800
iJ0LX6,#0076,Squadron Qater,580300,18,800,800
LWfio7,#0076,Squadron Qater,271700,8,800,800
4XKSyK,#0077,Squadron Vucarro v33.11,72500,2,800,800
GCwUOU,#0077,Squadron Vucarro v33.11,20600,0,800,800
5DmTXv,#0077,Squadron Vucarro v33.11,67800,2,800,800
wWoVHI,#0078,Squadron Zuter,78200,2,800,800
t1nm42,#0078,Squadron Zuter,19000,0,800,800
GRAFoE,#0078,Squadron Zuter,9000,0,800,800
bAdLkJ,#0079,Squadron Dutune,71900,2,800,800
FZ90KA,#0079,Squadron Dutune,76000,2,800,800
tnTvsh,#0079,Squadron Dutune,46700,1,800,800
fIv3LL,#0080,Squadron Fuwei,92900,3,800,800
LwOzge,#0080,Squadron Fuwei,391400,12,800,800
055jIR,#0080,Squadron Fuwei,302500,9,800,800
lJvEjx,#0081,Squadron Wustea Mk LXXXVI,1218800,37,800,800
1vs4QI,#0081,Squadron Wustea Mk LXXXVI,1252800,38,800,800
wbLYqv,#0081,Squadron Wustea Mk LXXXVI,1251800,38,800,800
8dAvSM,#0082,Squadron Qaturn,88300,3,800,800
vpqxvh,#0082,Squadron Qaturn,389100,12,800,800
KpCIVx,#0082,Squadron Qaturn,104900,3,800,800
ykMsnb,#0083,Squadron Hunus v28.9,574700,18,800,800
L7IqeG,#0083,Squadron Hunus v28.9,609900,19,800,800
LHVfRC,#0083,Squadron Hunus v28.9,292000,9,800,800
hSBr2H,#0084,Squadron Iuzuno,99200,3,800,800
xPhqaF,#0084,Squadron Iuzuno,98500,3,800,800
hGPDCP,#0084,Squadron Iuzuno,72800,2,800,800
aKJHXW,#0085,Squadron Fupra,103200,3,800,800
QaYZHn,#0085,Squadron Fupra,93400,3,800,800
eOtbSo,#0085,Squadron Fupra,587100,18,800,800
VMUIFd,#0086,Squadron Peturn,15100,0,800,800
C376O3,#0086,Squadron Peturn,9700,0,800,800
X7g4pY,#0086,Squadron Peturn,4200,0,800,800
fqkPxY,#0087,Squadron Doyama Mk VII,390000,12,800,800
rYTqPD,#0087,Squadron Doyama Mk VII,598800,19,800,800
NVnVUl,#0087,Squadron Doyama Mk VII,625500,19,800,800
6aCaIz,#0088,Squadron Julea,403900,13,800,800
1PnPqm,#0088,Squadron Julea,98100,3,800,800
M9V24k,#0088,Squadron Julea,302500,9,800,800
BlEzkV,#0089,Squadron Lanus,9000,0,800,800
2SbiqP,#0089,Squadron Lanus,93400,3,800,800
8aituh,#0089,Squadron Lanus,18800,0,800,800
5oI1Sf,#0090,Squadron Gohiri,52800,1,800,800
7e4lcG,#0090,Squadron Gohiri,390000,12,800,800
uIjTE8,#0090,Squadron Gohiri,15100,0,800,800
9PYAY3,#0091,Squadron Qalea,191100,6,800,800
np2jSv,#0091,Squadron Qalea,99100,3,800,800
bJjFLz,#0091,Squadron Qalea,10800,0,800,800
268u9c,#0092,Squadron Yestea,8500,0,800,800
6AlnwJ,#0092,Squadron Yestea,9700,0,800,800
2sSF5t,#0092,Squadron Yestea,18800,0,800,800
O7rxW5,#0093,Squadron Megantu,23800,0,800,800
N3B4Bz,#0093,Squadron Megantu,13500,0,800,800
uSLLIY,#0093,Squadron Megantu,9100,0,800,800
97OX7y,#0094,Squadron Monus,43100,1,800,800
zSVYYC,#0094,Squadron Monus,217800,7,800,800
EcP8Vy,#0094,Squadron Monus,381900,12,800,800
rZyFNX,#0095,Squadron Rugawa,608500,19,800,800
6PrPod,#0095,Squadron Rugawa,360800,11,800,800
8mLUkQ,#0095,Squadron Rugawa,592700,18,800,800
vYUgBk,#0096,Squadron Funerth,93400,3,800,800
LX7vyO,#0096,Squadron Funerth,450400,14,800,800
TWl9GD,#0096,Squadron Funerth,381200,12,800,800
qPLKHf,#0097,Squadron Foter,76000,2,800,800
VrqiVw,#0097,Squadron Foter,15100,0,800,800
KL6G13,#0097,Squadron Foter,99200,3,800,800
6BL3Ae,#0098,Squadron Suria Mk XCVII,23300,0,800,800
5spDBm,#0098,Squadron Suria Mk XCVII,29300,1,800,800
5AKIzS,#0098,Squadron Suria Mk XCVII,54200,1,800,800
rz8RYB,#0099,Squadron Vathea,92900,3,800,800
RLImcC,#0099,Squadron Vathea,98500,3,800,800
pNkKM1,#0099,Squadron Vathea,73500,2,800,800
B0Nvsh,#0100,Squadron Turilia v28.53,98500,3,800,800
QtHoc3,#0100,Squadron Turilia v28.53,97500,3,800,800
mFQdoG,#0100,Squadron Turilia v28.53,43400,1,800,800
jwcVNh,#0101,Squadron Fabos,4800,0,800,800
R4JAox,#0101,Squadron Fabos,10500,0,800,800
ZIXRRF,#0101,Squadron Fabos,0,0,800,800
OfhGY5,#0102,Squadron Huyama,685700,21,800,800
dfDijQ,#0102,Squadron Huyama,1240200,38,800,800
2wYRMm,#0102,Squadron Huyama,1257500,38,800,800
goKBfC,#0103,Squadron Xotune v29.73,610700,19,800,800
fF198Z,#0103,Squadron Xotune v29.73,302500,9,800,800
ePJy4d,#0103,Squadron Xotune v29.73,366800,11,800,800
sc92Ub,#0104,Squadron Nutera,24800,0,800,800
8yiSpg,#0104,Squadron Nutera,45100,1,800,800
ykjinb,#0104,Squadron Nutera,19000,0,800,800
aykdQt,#0105,Squadron Nalea v36.5,102600,3,800,800
mI2RbW,#0105,Squadron Nalea v36.5,191100,6,800,800
LvqxQl,#0105,Squadron Nalea v36.5,99100,3,800,800
DI5tqk,#0106,Squadron Jatania,103200,3,800,800
ENy1vV,#0106,Squadron Jatania,455700,14,800,800
yMLBG1,#0106,Squadron Jatania,223700,7,800,800
jyfcTs,#0107,Squadron Danov,450600,14,800,800
v4zpla,#0107,Squadron Danov,109000,3,800,800
xQQCdf,#0107,Squadron Danov,445300,14,800,800
KW7DjE,#0108,Squadron Getis,46700,1,800,800
YIorHX,#0108,Squadron Getis,288900,9,800,800
S2HNWz,#0108,Squadron Getis,4500,0,800,800
vaROvl,#0109,Squadron Ioliv,97500,3,800,800
OQq8XF,#0109,Squadron Ioliv,20500,0,800,800
RDtLgp,#0109,Squadron Ioliv,18800,0,800,800
rVWu91,#0110,Squadron Keclite,450600,14,800,800
ACJYxl,#0110,Squadron Keclite,455700,14,800,800
gGvFwV,#0110,Squadron Keclite,289300,9,800,800
o2QHl1,#0111,Squadron Herilia v14.82,604800,19,800,800
6GNwR9,#0111,Squadron Herilia v14.82,360800,11,800,800
6l8oET,#0111,Squadron Herilia v14.82,92400,3,800,800
gBbhZ8,#0112,Squadron Matania,313800,10,800,800
Zl6iEi,#0112,Squadron Matania,228300,7,800,800
RZsypR,#0112,Squadron Matania,66900,2,800,800
BS5fg9,#0113,Squadron Kunope,450600,14,800,800
GpKBWI,#0113,Squadron Kunope,575900,18,800,800
pq6rBO,#0113,Squadron Kunope,280100,9,800,800
uM32BP,#0114,Squadron Negantu,584100,18,800,800
dOPVi0,#0114,Squadron Negantu,389100,12,800,800
EXIWEH,#0114,Squadron Negantu,614300,19,800,800
Hng2xl,#0115,Squadron Lethea Mk XCVII,73000,2,800,800
GTxvVF,#0115,Squadron Lethea Mk XCVII,19600,0,800,800
mW3e1o,#0115,Squadron Lethea Mk XCVII,66200,2,800,800
cfhYbn,#0116,Squadron Soria,603200,19,800,800
unqXKC,#0116,Squadron Soria,107900,3,800,800
tMAxh5,#0116,Squadron Soria,626500,19,800,800
KylXu7,#0117,Squadron Cethea,9800,0,800,800
WoHdda,#0117,Squadron Cethea,0,0,800,800
SJNnt4,#0117,Squadron Cethea,103800,3,800,800
zdRVJE,#0118,Squadron Pucarro,55200,1,800,800
fNDrcR,#0118,Squadron Pucarro,372000,12,800,800
iNNvPH,#0118,Squadron Pucarro,9000,0,800,800
nzf3ce,#0119,Squadron Xunus Mk XII,648200,20,800,800
FRWV8R,#0119,Squadron Xunus Mk XII,615100,19,800,800
LBJiUV,#0119,Squadron Xunus Mk XII,620800,19,800,800
PaEtfP,#0120,Squadron Waria v41.6,283700,9,800,800
DAt0rL,#0120,Squadron Waria v41.6,392400,12,800,800
uQgtPs,#0120,Squadron Waria v41.6,604800,19,800,800
gnYNkV,#0121,Squadron Sugantu,44900,1,800,800
9x0piQ,#0121,Squadron Sugantu,15100,0,800,800
yjSs7E,#0121,Squadron Sugantu,19000,0,800,800
ieHDue,#0122,Squadron Wanope,615100,19,800,800
IHPJmw,#0122,Squadron Wanope,1012500,31,800,800
eHpCkO,#0122,Squadron Wanope,1262800,38,800,800
DXyNZD,#0123,Squadron Fatera,271700,8,800,800
9Aunrf,#0123,Squadron Fatera,14800,0,800,800
HsqFAk,#0123,Squadron Fatera,76600,2,800,800
bPBbNA,#0124,Squadron Fanov v33.40,625900,19,800,800
biDHXo,#0124,Squadron Fanov v33.40,614200,19,800,800
S73K9Q,#0124,Squadron Fanov v33.40,659900,20,800,800
6wK3ZI,#0125,Squadron Soter v3.44,298900,9,800,800
g956SQ,#0125,Squadron Soter v3.44,93400,3,800,800
DYq0Zg,#0125,Squadron Soter v3.44,587400,18,800,800
zigGe1,#0126,Squadron Wanus v30.81,76000,2,800,800
QEtiu9,#0126,Squadron Wanus v30.81,76000,2,800,800
5GFaH5,#0126,Squadron Wanus v30.81,167000,5,800,800
yeesfo,#0127,Squadron Quwei,43400,1,800,800
YvPNHJ,#0127,Squadron Quwei,76000,2,800,800
z9Kqfc,#0127,Squadron Quwei,77900,2,800,800
3jWoON,#0128,Squadron Xetune,398000,12,800,800
cGqVD1,#0128,Squadron Xetune,1262800,38,800,800
72kE8K,#0128,Squadron Xetune,619500,19,800,800
l8M7cR,#0129,Squadron Peter,109500,3,800,800
0krj2U,#0129,Squadron Peter,285100,9,800,800
H1xPNl,#0129,Squadron Peter,33500,1,800,800
OQxRQD,#0130,Squadron Doruta,614300,19,800,800
tqoDGW,#0130,Squadron Doruta,1342500,41,800,800
yPY3Uu,#0130,Squadron Doruta,620200,19,800,800
Pda4kp,#0131,Squadron Iunus v35.24,43400,1,800,800
ijJqc4,#0131,Squadron Iunus v35.24,18800,0,800,800
cdAjFB,#0131,Squadron Iunus v35.24,4800,0,800,800
VuDezf,#0132,Squadron Vetania,82600,2,800,800
ouqM4C,#0132,Squadron Vetania,88300,3,800,800
bdcFcS,#0132,Squadron Vetania,78200,2,800,800
NuaGq4,#0133,Squadron Felea,604800,19,800,800
04zk41,#0133,Squadron Felea,1567900,47,800,800
0TKBP6,#0133,Squadron Felea,1113200,34,800,800
Dh3s0S,#0134,Squadron Tetune,103100,3,800,800
f0OJBJ,#0134,Squadron Tetune,8800,0,800,800
DtP2h7,#0134,Squadron Tetune,155900,5,800,800
XSD3lQ,#0135,Squadron Durus v12.47,5500,0,800,800
qU3mMd,#0135,Squadron Durus v12.47,615500,19,800,800
OlZarN,#0135,Squadron Durus v12.47,112900,3,800,800
j4Lh7n,#0136,Squadron Tuvis,463400,14,800,800
y4An4u,#0136,Squadron Tuvis,598800,19,800,800
Fijdq5,#0136,Squadron Tuvis,455700,14,800,800
PAPN0S,#0137,Squadron Juzuno v16.41,334300,10,800,800
6WrwsC,#0137,Squadron Juzuno v16.41,359200,11,800,800
cdMAsc,#0137,Squadron Juzuno v16.41,266200,8,800,800
q9a8kI,#0138,Squadron Bowei,355600,11,800,800
w2vMWc,#0138,Squadron Bowei,415500,13,800,800
64p2zS,#0138,Squadron Bowei,200900,6,800,800
in9rqU,#0139,Squadron Konus Mk LVIII,9100,0,800,800
rB1hIm,#0139,Squadron Konus Mk LVIII,4200,0,800,800
JY1brs,#0139,Squadron Konus Mk LVIII,9000,0,800,800
oCv2k2,#0140,Squadron Jeliv,0,0,800,800
P6QvbE,#0140,Squadron Jeliv,15100,0,800,800
PZL7Y9,#0140,Squadron Jeliv,14600,0,800,800
l5DGHA,#0141,Squadron Quphus,19100,0,800,800
pFyERq,#0141,Squadron Quphus,10800,0,800,800
70FjVi,#0141,Squadron Quphus,15100,0,800,800
CvNB8B,#0142,Squadron Nuthea,610700,19,800,800
dViclD,#0142,Squadron Nuthea,614300,19,800,800
kdodKw,#0142,Squadron Nuthea,685300,21,800,800
hnkUk5,#0143,Squadron Ronope Mk LXVIII,103700,3,800,800
vQtFWn,#0143,Squadron Ronope Mk LXVIII,68400,2,800,800
JgxthH,#0143,Squadron Ronope Mk LXVIII,0,0,800,800
kAND5P,#0144,Squadron Muhiri v31.23,288200,9,800,800
3KIDug,#0144,Squadron Muhiri v31.23,286600,9,800,800
NSj1ah,#0144,Squadron Muhiri v31.23,290900,9,800,800
nrCwyw,#0145,Squadron Yolia v39.2,329100,10,800,800
HuSxpz,#0145,Squadron Yolia v39.2,620200,19,800,800
70JGvT,#0145,Squadron Yolia v39.2,104900,3,800,800
2fX1WG,#0146,Squadron Yonia,98100,3,800,800
vSm5cl,#0146,Squadron Yonia,19000,0,800,800
ojyxNo,#0146,Squadron Yonia,98100,3,800,800
9vkiPd,#0147,Squadron Totera,488400,15,800,800
5wLm1V,#0147,Squadron Totera,935900,29,800,800
E7cOOL,#0147,Squadron Totera,574700,18,800,800
vrLPno,#0148,Squadron Juter Mk LXVII,458300,14,800,800
K7TxHF,#0148,Squadron Juter Mk LXVII,20500,0,800,800
3fCJIA,#0148,Squadron Juter Mk LXVII,608500,19,800,800
pc2LS7,#0149,Squadron Futurn Mk LXXIX,583800,18,800,800
JngY7Y,#0149,Squadron Futurn Mk LXXIX,609500,19,800,800
7vDmGT,#0149,Squadron Futurn Mk LXXIX,609200,19,800,800
iQuPzE,#0150,Squadron Nunerth,261600,8,800,800
3O71As,#0150,Squadron Nunerth,361400,11,800,800
9x25oe,#0150,Squadron Nunerth,285300,9,800,800
laVoeV,#0151,Squadron Iutov,234100,7,800,800
FCJuQl,#0151,Squadron Iutov,385800,12,800,800
KUSlUQ,#0151,Squadron Iutov,92400,3,800,800
6RNReQ,#0152,Squadron Koturn,593000,18,800,800
lh4kcE,#0152,Squadron Koturn,603200,19,800,800
xtdsxo,#0152,Squadron Koturn,608300,19,800,800
SBRwSK,#0153,Squadron Mustea Mk XIII,391400,12,800,800
U3mpje,#0153,Squadron Mustea Mk XIII,114600,3,800,800
