uid,name,rank,wld,kills,health,survivingDrones,roundTime,width,height
iNoAqA,Squadron Iavis v40.72,14,1,6,270,4,228,720,720
iNoAqA,Squadron Iavis v40.72,15,1,6,169,2,415,720,720
iNoAqA,Squadron Iavis v40.72,16,1,6,449,6,194,720,720
iNoAqA,Squadron Iavis v40.72,17,1,6,453,6,243,720,720
iNoAqA,Squadron Iavis v40.72,18,-1,0,0,0,274,720,720
h94DGo,Squadron Humia,0,-1,1,0,0,221,720,720
WwEpJx,Squadron Humia,0,1,6,178,4,257,720,720
WwEpJx,Squadron Humia,1,1,6,348,4,240,720,720
WwEpJx,Squadron Humia,2,-1,4,0,0,311,720,720
bVF7Ii,Squadron Humia,0,-1,4,0,0,377,720,720
0Zppbo,Squadron Humia,0,-1,3,0,0,432,720,720
4VIauZ,Squadron Humia,0,1,6,96,3,332,720,720
4VIauZ,Squadron Humia,1,1,6,178,3,274,720,720
4VIauZ,Squadron Humia,2,1,6,34,1,477,720,720
4VIauZ,Squadron Humia,3,-1,3,0,0,357,720,720
mzaDkL,Squadron Selea,0,1,6,245,3,253,720,720
mzaDkL,Squadron Selea,1,1,6,233,4,264,720,720
mzaDkL,Squadron Selea,2,1,6,269,4,334,720,720
mzaDkL,Squadron Selea,3,1,6,55,2,348,720,720
mzaDkL,Squadron Selea,4,1,6,269,5,227,720,720
mzaDkL,Squadron Selea,5,1,6,70,3,441,720,720
mzaDkL,Squadron Selea,6,1,6,368,3,311,720,720
mzaDkL,Squadron Selea,7,1,6,228,5,343,720,720
mzaDkL,Squadron Selea,8,1,6,210,4,292,720,720
mzaDkL,Squadron Selea,9,1,6,284,6,222,720,720
mzaDkL,Squadron Selea,10,1,6,242,5,269,720,720
mzaDkL,Squadron Selea,11,1,6,166,3,278,720,720
mzaDkL,Squadron Selea,12,1,6,230,5,309,720,720
mzaDkL,Squadron Selea,13,1,6,311,5,205,720,720
mzaDkL,Squadron Selea,14,1,6,93,2,288,720,720
mzaDkL,Squadron Selea,15,1,6,155,2,375,720,720
mzaDkL,Squadron Selea,16,1,6,497,6,183,720,720
mzaDkL,Squadron Selea,17,1,6,384,5,204,720,720
mzaDkL,Squadron Selea,18,-1,3,0,0,352,720,720
O3a8WJ,Squadron Selea,0,1,6,168,3,302,720,720
O3a8WJ,Squadron Selea,1,1,6,278,4,261,720,720
O3a8WJ,Squadron Selea,2,1,6,148,3,291,720,720
O3a8WJ,Squadron Selea,3,1,6,113,3,326,720,720
O3a8WJ,Squadron Selea,4,1,6,224,6,223,720,720
O3a8WJ,Squadron Selea,5,1,6,198,4,298,720,720
O3a8WJ,Squadron Selea,6,1,6,353,4,247,720,720
O3a8WJ,Squadron Selea,7,1,6,335,4,276,720,720
O3a8WJ,Squadron Selea,8,1,6,310,5,247,720,720
O3a8WJ,Squadron Selea,9,1,6,378,4,225,720,720
O3a8WJ,Squadron Selea,10,1,6,280,3,287,720,720
O3a8WJ,Squadron Selea,11,-1,3,0,0,317,720,720
6p9LHw,Squadron Selea,0,1,6,289,6,235,720,720
6p9LHw,Squadron Selea,1,1,6,317,4,239,720,720
6p9LHw,Squadron Selea,2,1,6,295,3,231,720,720
6p9LHw,Squadron Selea,3,1,6,53,1,433,720,720
6p9LHw,Squadron Selea,4,1,6,341,4,228,720,720
6p9LHw,Squadron Selea,5,1,6,265,3,278,720,720
6p9LHw,Squadron Selea,6,1,6,326,5,247,720,720
6p9LHw,Squadron Selea,7,1,6,382,3,239,720,720
6p9LHw,Squadron Selea,8,1,6,21,2,331,720,720
6p9LHw,Squadron Selea,9,-1,2,0,0,263,720,720
HG4fEx,Squadron Selea,0,1,6,129,2,259,720,720
HG4fEx,Squadron Selea,1,1,6,305,4,269,720,720
HG4fEx,Squadron Selea,2,-1,2,0,0,271,720,720
0C25JR,Squadron Selea,0,1,6,274,4,217,720,720
0C25JR,Squadron Selea,1,1,6,432,6,234,720,720
0C25JR,Squadron Selea,2,1,6,158,3,277,720,720
0C25JR,Squadron Selea,3,1,6,348,5,281,720,720
0C25JR,Squadron Selea,4,1,6,158,3,288,720,720
0C25JR,Squadron Selea,5,1,6,199,3,303,720,720
0C25JR,Squadron Selea,6,1,6,365,6,216,720,720
0C25JR,Squadron Selea,7,1,6,191,5,223,720,720
0C25JR,Squadron Selea,8,1,6,200,3,318,720,720
0C25JR,Squadron Selea,9,1,6,139,4,339,720,720
0C25JR,Squadron Selea,10,1,6,209,5,252,720,720
0C25JR,Squadron Selea,11,1,6,326,5,301,720,720
0C25JR,Squadron Selea,12,1,6,57,2,464,720,720
0C25JR,Squadron Selea,13,1,6,305,5,216,720,720
0C25JR,Squadron Selea,14,1,6,430,5,180,720,720
0C25JR,Squadron Selea,15,1,6,360,5,255,720,720
0C25JR,Squadron Selea,16,1,6,303,5,199,720,720
0C25JR,Squadron Selea,17,1,6,331,3,306,720,720
0C25JR,Squadron Selea,18,-1,1,0,0,259,720,720
oh0pGM,Squadron Yocarro Mk XLVII,0,1,6,18,1,422,720,720
oh0pGM,Squadron Yocarro Mk XLVII,1,1,6,321,4,242,720,720
oh0pGM,Squadron Yocarro Mk XLVII,2,1,6,115,3,309,720,720
oh0pGM,Squadron Yocarro Mk XLVII,3,1,6,73,2,483,720,720
oh0pGM,Squadron Yocarro Mk XLVII,4,1,6,321,4,229,720,720
oh0pGM,Squadron Yocarro Mk XLVII,5,-1,2,0,0,285,720,720
71r2Lm,Squadron Yocarro Mk XLVII,0,-1,5,0,0,432,720,720
DT61i9,Squadron Yocarro Mk XLVII,0,1,6,140,3,273,720,720
DT61i9,Squadron Yocarro Mk XLVII,1,1,6,265,4,258,720,720
DT61i9,Squadron Yocarro Mk XLVII,2,1,6,144,1,344,720,720
DT61i9,Squadron Yocarro Mk XLVII,3,-1,5,0,0,371,720,720
SKLYAJ,Squadron Yocarro Mk XLVII,0,1,6,231,4,297,720,720
SKLYAJ,Squadron Yocarro Mk XLVII,1,1,6,252,3,259,720,720
SKLYAJ,Squadron Yocarro Mk XLVII,2,1,6,244,3,369,720,720
SKLYAJ,Squadron Yocarro Mk XLVII,3,-1,3,0,0,272,720,720
IEJIEj,Squadron Yocarro Mk XLVII,0,1,6,114,3,346,720,720
IEJIEj,Squadron Yocarro Mk XLVII,1,1,6,354,4,180,720,720
IEJIEj,Squadron Yocarro Mk XLVII,2,1,6,198,3,251,720,720
IEJIEj,Squadron Yocarro Mk XLVII,3,-1,5,0,0,548,720,720
SH46Tl,Squadron Manope Mk XXXVII,0,1,6,41,2,370,720,720
SH46Tl,Squadron Manope Mk XXXVII,1,-1,3,0,0,319,720,720
zytSrF,Squadron Manope Mk XXXVII,0,1,6,124,2,359,720,720
zytSrF,Squadron Manope Mk XXXVII,1,1,6,159,2,298,720,720
zytSrF,Squadron Manope Mk XXXVII,2,-1,4,0,0,427,720,720
4xhmXN,Squadron Manope Mk XXXVII,0,1,6,269,4,220,720,720
4xhmXN,Squadron Manope Mk XXXVII,1,1,6,50,3,326,720,720
4xhmXN,Squadron Manope Mk XXXVII,2,1,6,226,4,249,720,720
4xhmXN,Squadron Manope Mk XXXVII,3,-1,1,0,0,281,720,720
qztdAF,Squadron Manope Mk XXXVII,0,1,6,176,4,336,720,720
qztdAF,Squadron Manope Mk XXXVII,1,1,6,111,3,300,720,720
qztdAF,Squadron Manope Mk XXXVII,2,-1,2,0,0,349,720,720
ApIdeu,Squadron Manope Mk XXXVII,0,-1,4,0,0,455,720,720
cGD7hp,Squadron Wehines Mk L,0,1,6,277,5,302,720,720
cGD7hp,Squadron Wehines Mk L,1,1,6,257,6,306,720,720
cGD7hp,Squadron Wehines Mk L,2,1,6,231,3,262,720,720
cGD7hp,Squadron Wehines Mk L,3,-1,2,0,0,323,720,720
VMcQ2H,Squadron Wehines Mk L,0,1,6,170,2,363,720,720
VMcQ2H,Squadron Wehines Mk L,1,1,6,355,5,263,720,720
VMcQ2H,Squadron Wehines Mk L,2,1,6,265,5,341,720,720
VMcQ2H,Squadron Wehines Mk L,3,-1,2,0,0,372,720,720
WbdXHt,Squadron Wehines Mk L,0,-1,3,0,0,338,720,720
LfNKI7,Squadron Wehines Mk L,0,1,6,281,6,232,720,720
LfNKI7,Squadron Wehines Mk L,1,1,6,227,4,356,720,720
LfNKI7,Squadron Wehines Mk L,2,-1,1,0,0,253,720,720
MKuCiD,Squadron Wehines Mk L,0,1,6,131,3,395,720,720
MKuCiD,Squadron Wehines Mk L,1,1,6,443,5,261,720,720
MKuCiD,Squadron Wehines Mk L,2,1,6,219,3,320,720,720
MKuCiD,Squadron Wehines Mk L,3,1,6,154,2,468,720,720
MKuCiD,Squadron Wehines Mk L,4,1,6,504,6,179,720,720
MKuCiD,Squadron Wehines Mk L,5,-1,2,0,0,337,720,720
mPXPOI,Squadron Iapra,0,1,6,98,3,283,720,720
mPXPOI,Squadron Iapra,1,1,6,209,5,263,720,720
mPXPOI,Squadron Iapra,2,1,6,72,2,385,720,720
mPXPOI,Squadron Iapra,3,-1,3,0,0,416,720,720
xzCgP7,Squadron Iapra,0,1,6,58,2,297,720,720
xzCgP7,Squadron Iapra,1,-1,4,0,0,305,720,720
WEH2Sa,Squadron Iapra,0,1,6,79,1,435,720,720
WEH2Sa,Squadron Iapra,1,1,6,204,4,268,720,720
WEH2Sa,Squadron Iapra,2,1,6,107,2,357,720,720
WEH2Sa,Squadron Iapra,3,1,6,154,5,299,720,720
WEH2Sa,Squadron Iapra,4,1,6,228,6,213,720,720
WEH2Sa,Squadron Iapra,5,-1,3,0,0,352,720,720
9hRjt8,Squadron Iapra,0,-1,3,0,0,360,720,720
Vor7NR,Squadron Iapra,0,-1,2,0,0,323,720,720
maClWY,Squadron Jolea,0,1,6,218,5,208,720,720
maClWY,Squadron Jolea,1,-1,5,0,0,431,720,720
WZsmQQ,Squadron Jolea,0,1,6,209,4,278,720,720
WZsmQQ,Squadron Jolea,1,1,6,127,1,257,720,720
WZsmQQ,Squadron Jolea,2,1,6,165,5,239,720,720
WZsmQQ,Squadron Jolea,3,-1,0,0,0,234,720,720
NGtodj,Squadron Jolea,0,-1,2,0,0,266,720,720
luOaB3,Squadron Jolea,0,-1,5,0,0,478,720,720
5Ouwqv,Squadron Jolea,0,1,6,120,2,350,720,720
5Ouwqv,Squadron Jolea,1,1,6,192,6,223,720,720
5Ouwqv,Squadron Jolea,2,1,6,157,2,394,720,720
5Ouwqv,Squadron Jolea,3,-1,0,0,0,278,720,720
