uid,number,squadron,highScore,rank,width,height
soXwAm,#0001,Squadron Gaphus,98500,3,1600,900
qobyz4,#0001,Squadron Gaphus,386600,12,1600,900
cbWG9i,#0001,Squadron Gaphus,233700,7,1600,900
W9Mf3a,#0002,Squadron Nonia,13600,0,1600,900
fJYXox,#0002,Squadron Nonia,298900,9,1600,900
3tZHjI,#0002,Squadron Nonia,454500,14,1600,900
lKDqYL,#0003,Squadron Tubos,351900,11,1600,900
7clklk,#0003,Squadron Tubos,88300,3,1600,900
10GfQz,#0003,Squadron Tubos,334200,10,1600,900
ZtS1j1,#0004,Squadron Pecury,9000,0,1600,900
wnKLWj,#0004,Squadron Pecury,14500,0,1600,900
F9vNKe,#0004,Squadron Pecury,18800,0,1600,900
f3bhMI,#0005,Squadron Cotania,9700,0,1600,900
fnqpyE,#0005,Squadron Cotania,20800,0,1600,900
xORctj,#0005,Squadron Cotania,38700,1,1600,900
ZhqmV4,#0006,Squadron Sophus,77700,2,1600,900
WBtru3,#0006,Squadron Sophus,70900,2,1600,900
DLSF3s,#0006,Squadron Sophus,18800,0,1600,900
d7RaaI,#0007,Squadron Nostea,17800,0,1600,900
qVcAII,#0007,Squadron Nostea,76000,2,1600,900
QTKtj8,#0007,Squadron Nostea,262400,8,1600,900
hnLnX3,#0008,Squadron Tepra,93400,3,1600,900
yvrqHL,#0008,Squadron Tepra,107800,3,1600,900
15Xj3L,#0008,Squadron Tepra,107800,3,1600,900
jy633V,#0009,Squadron Relia v12.42,259700,8,1600,900
owk5l4,#0009,Squadron Relia v12.42,76600,2,1600,900
afISVb,#0009,Squadron Relia v12.42,66200,2,1600,900
Devq4c,#0010,Squadron Xocury,11500,0,1600,900
NwG36n,#0010,Squadron Xocury,8700,0,1600,900
ajKeOL,#0010,Squadron Xocury,14800,0,1600,900
rWTLuW,#0011,Squadron Wuwei v12.30,70900,2,1600,900
xrhGYE,#0011,Squadron Wuwei v12.30,16300,0,1600,900
wbPR95,#0011,Squadron Wuwei v12.30,88300,3,1600,900
360EMK,#0012,Squadron Yutera Mk LXXXIV,14500,0,1600,900
XJhQgx,#0012,Squadron Yutera Mk LXXXIV,79100,2,1600,900
HkQ2Z4,#0012,Squadron Yutera Mk LXXXIV,23300,0,1600,900
vf2RTO,#0013,Squadron Tewei v11.69,1119400,34,1600,900
Vf9632,#0013,Squadron Tewei v11.69,598800,19,1600,900
JLDOJq,#0013,Squadron Tewei v11.69,398300,12,1600,900
UZRF9z,#0014,Squadron Qewei Mk XCV,6000,0,1600,900
fGt1wA,#0014,Squadron Qewei Mk XCV,18800,0,1600,900
b7mUsT,#0014,Squadron Qewei Mk XCV,84800,2,1600,900
pzNCtF,#0015,Squadron Honov,68500,2,1600,900
GKvVQA,#0015,Squadron Honov,264500,8,1600,900
zzNu0b,#0015,Squadron Honov,264500,8,1600,900
bNsWhA,#0016,Squadron Purilia Mk XXXV,25000,0,1600,900
tQmePf,#0016,Squadron Purilia Mk XXXV,16300,0,1600,900
vhPeZh,#0016,Squadron Purilia Mk XXXV,74200,2,1600,900
wd6i5U,#0017,Squadron Wonus,610100,19,1600,900
DGR0mX,#0017,Squadron Wonus,360300,11,1600,900
UkihNs,#0017,Squadron Wonus,14500,0,1600,900
zWOtYR,#0018,Squadron Buwei,286800,9,1600,900
TdW3dr,#0018,Squadron Buwei,73500,2,1600,900
u9Ifnl,#0018,Squadron Buwei,23300,0,1600,900
4ESoe2,#0019,Squadron Iavis v40.72,587400,18,1600,900
aaiv5X,#0019,Squadron Iavis v40.72,391500,12,1600,900
kSQ0KL,#0019,Squadron Iavis v40.72,911500,28,1600,900
B7kN7u,#0020,Squadron Humia,6000,0,1600,900
f8r5hU,#0020,Squadron Humia,312700,10,1600,900
tRUM7B,#0020,Squadron Humia,4800,0,1600,900
hrEcgp,#0021,Squadron Selea,98000,3,1600,900
wVP7uY,#0021,Squadron Selea,24800,0,1600,900
RsKaTX,#0021,Squadron Selea,114100,3,1600,900
zcMpfN,#0022,Squadron Yocarro Mk XLVII,82600,2,1600,900
51pAEw,#0022,Squadron Yocarro Mk XLVII,83200,2,1600,900
WoeadF,#0022,Squadron Yocarro Mk XLVII,425200,13,1600,900
CsiQF0,#0023,Squadron Manope Mk XXXVII,8500,0,1600,900
Agqh0v,#0023,Squadron Manope Mk XXXVII,234600,7,1600,900
VblMdS,#0023,Squadron Manope Mk XXXVII,9000,0,1600,900
mNUEpd,#0024,Squadron Wehines Mk L,9100,0,1600,900
DUBQRR,#0024,Squadron Wehines Mk L,18500,0,1600,900
PNOeCh,#0024,Squadron Wehines Mk L,9000,0,1600,900
aDxAOV,#0025,Squadron Iapra,48600,1,1600,900
LZLpRh,#0025,Squadron Iapra,350600,11,1600,900
7UVFIw,#0025,Squadron Iapra,67400,2,1600,900
GrR1Jt,#0026,Squadron Jolea,24800,0,1600,900
wkYtYT,#0026,Squadron Jolea,23300,0,1600,900
ZWvGfG,#0026,Squadron Jolea,58700,2,1600,900
0BKYWZ,#0027,Squadron Yutania,68500,2,1600,900
JtyMwk,#0027,Squadron Yutania,16000,0,1600,900
7FK9BR,#0027,Squadron Yutania,14700,0,1600,900
oK7PIw,#0028,Squadron Senus Mk XLIX,176900,5,1600,900
QxrUDC,#0028,Squadron Senus Mk XLIX,613600,19,1600,900
DQHH3z,#0028,Squadron Senus Mk XLIX,84800,2,1600,900
ff6jHI,#0029,Squadron Nehiri,10500,0,1600,900
n2TtRs,#0029,Squadron Nehiri,16300,0,1600,900
9lha1Z,#0029,Squadron Nehiri,9000,0,1600,900
