uid,number,name,rank,wld,kills,health,survivingDrones,roundTime,width,height
Nanov vs Nonia,#0062,Nanov,0,1,6,123,3,518,800,800
Nanov vs Nonia,#0002,Nonia,0,-1,3,0,0,518,800,800
Nanov vs Nonia,#0062,Nanov,0,-1,2,0,0,422,800,800
Nanov vs Nonia,#0002,Nonia,0,1,6,234,4,422,800,800
Nanov vs Nonia,#0062,Nanov,0,-1,5,0,0,528,800,800
Nanov vs Nonia,#0002,Nonia,0,1,6,34,1,528,800,800
Iapra vs Negantu,#0025,Iapra,0,-1,1,0,0,271,800,800
Iapra vs Negantu,#0114,Negantu,0,1,6,441,5,271,800,800
Iapra vs Negantu,#0025,Iapra,0,-1,0,0,0,229,800,800
Iapra vs Negantu,#0114,Negantu,0,1,6,419,6,229,800,800
Iapra vs Negantu,#0025,Iapra,0,-1,0,0,0,255,800,800
Iapra vs Negantu,#0114,Negantu,0,1,6,370,6,255,800,800
Dayama vs Durus v12.47,#0043,Dayama,0,-1,2,0,0,246,800,800
Dayama vs Durus v12.47,#0135,Durus v12.47,0,1,6,250,4,246,800,800
Dayama vs Durus v12.47,#0043,Dayama,0,-1,2,0,0,277,800,800
Dayama vs Durus v12.47,#0135,Durus v12.47,0,1,6,254,4,277,800,800
Dayama vs Durus v12.47,#0043,Dayama,0,-1,5,0,0,415,800,800
Dayama vs Durus v12.47,#0135,Durus v12.47,0,1,6,2,1,415,800,800
Lanus vs Wuturn v18.96,#0089,Lanus,0,1,6,235,5,280,800,800
Lanus vs Wuturn v18.96,#0061,Wuturn v18.96,0,-1,1,0,0,280,800,800
Lanus vs Wuturn v18.96,#0089,Lanus,0,-1,1,0,0,263,800,800
Lanus vs Wuturn v18.96,#0061,Wuturn v18.96,0,1,6,277,5,263,800,800
Lanus vs Wuturn v18.96,#0089,Lanus,0,1,6,89,1,587,800,800
Lanus vs Wuturn v18.96,#0061,Wuturn v18.96,0,-1,5,0,0,587,800,800
Honov vs Fucury,#0015,Honov,0,1,6,252,5,279,800,800
Honov vs Fucury,#0068,Fucury,0,-1,1,0,0,279,800,800
Honov vs Fucury,#0015,Honov,0,1,6,365,5,344,800,800
Honov vs Fucury,#0068,Fucury,0,-1,1,0,0,344,800,800
Honov vs Fucury,#0015,Honov,0,1,6,372,5,240,800,800
Honov vs Fucury,#0068,Fucury,0,-1,1,0,0,240,800,800
Nutera vs Wunus,#0104,Nutera,0,1,6,85,3,312,800,800
Nutera vs Wunus,#0044,Wunus,0,-1,3,0,0,312,800,800
Nutera vs Wunus,#0104,Nutera,0,-1,1,0,0,260,800,800
Nutera vs Wunus,#0044,Wunus,0,1,6,344,5,260,800,800
Nutera vs Wunus,#0104,Nutera,0,-1,4,0,0,501,800,800
Nutera vs Wunus,#0044,Wunus,0,1,6,26,2,501,800,800
Futer vs Selea,#0045,Futer,0,-1,1,0,0,259,800,800
Futer vs Selea,#0021,Selea,0,1,6,308,5,259,800,800
Futer vs Selea,#0045,Futer,0,-1,0,0,0,229,800,800
Futer vs Selea,#0021,Selea,0,1,6,304,6,229,800,800
Futer vs Selea,#0045,Futer,0,-1,1,0,0,282,800,800
