uid,squadron,name,value,weapon,scanner,thruster,steering,chassis,startingHealth,health,damage,kills,diedAt,roundTime,width,height
inP21J,Squadron Xocury,Zanov,0.400,Pulse Rifle,SC600,T12,S4,C175,150,9,60,0,,284,720,720
inP21J,Squadron Xocury,Xocury,0.856,Plasma Cannon,SC700,T20,S10,C175,150,52,200,2,,256,720,720
inP21J,Squadron Xocury,Qater,0.672,Fusion Cannon,SC800,T15,S12,C100,75,16,128,2,,256,720,720
inP21J,Squadron Xocury,Kapra v13.52,0.600,Plasma Cannon,SC300,T12,S12,C100,75,36,190,1,,256,720,720
inP21J,Squadron Xocury,Zelia,0.522,Arc Gun,SC300,T20,S10,C100,75,-4,66,1,184.89,256,720,720
inP21J,Squadron Xocury,Futov v11.42,0.422,Pulse Rifle,SC300,T15,S12,C125,100,13,45,0,,256,720,720
inP21J,Squadron Xocury,Zanov,0.400,Pulse Rifle,SC600,T12,S4,C175,150,32,45,0,,256,720,720
inP21J,Squadron Xocury,Xocury,0.856,Plasma Cannon,SC700,T20,S10,C175,150,-3,100,0,293.42,371,720,720
inP21J,Squadron Xocury,Qater,0.672,Fusion Cannon,SC800,T15,S12,C100,75,-6,48,0,171.10,371,720,720
inP21J,Squadron Xocury,Kapra v13.52,0.600,Plasma Cannon,SC300,T12,S12,C100,75,-2,150,1,161.87,371,720,720
inP21J,Squadron Xocury,Zelia,0.522,Arc Gun,SC300,T20,S10,C100,75,-12,178,1,370.70,371,720,720
inP21J,Squadron Xocury,Futov v11.42,0.422,Pulse Rifle,SC300,T15,S12,C125,100,0,78,0,266.41,371,720,720
inP21J,Squadron Xocury,Zanov,0.400,Pulse Rifle,SC600,T12,S4,C175,150,0,87,2,351.40,371,720,720
emI2aP,Squadron Xocury,Xocury,0.856,Plasma Cannon,SC700,T20,S10,C175,150,-2,110,1,188.22,251,720,720
emI2aP,Squadron Xocury,Qater,0.672,Fusion Cannon,SC800,T15,S12,C100,75,0,56,0,72.63,251,720,720
emI2aP,Squadron Xocury,Kapra v13.52,0.600,Plasma Cannon,SC300,T12,S12,C100,75,-4,200,1,251.29,251,720,720
emI2aP,Squadron Xocury,Zelia,0.522,Arc Gun,SC300,T20,S10,C100,75,-5,70,0,143.89,251,720,720
emI2aP,Squadron Xocury,Futov v11.42,0.422,Pulse Rifle,SC300,T15,S12,C125,100,-5,60,0,225.73,251,720,720
emI2aP,Squadron Xocury,Zanov,0.400,Pulse Rifle,SC600,T12,S4,C175,150,-1,57,0,208.79,251,720,720
9yCdV1,Squadron Xocury,Xocury,0.856,Plasma Cannon,SC700,T20,S10,C175,150,-14,100,0,80.79,320,720,720
9yCdV1,Squadron Xocury,Qater,0.672,Fusion Cannon,SC800,T15,S12,C100,75,-4,136,1,150.33,320,720,720
9yCdV1,Squadron Xocury,Kapra v13.52,0.600,Plasma Cannon,SC300,T12,S12,C100,75,0,170,1,244.15,320,720,720
9yCdV1,Squadron Xocury,Zelia,0.522,Arc Gun,SC300,T20,S10,C100,75,-1,52,1,260.46,320,720,720
9yCdV1,Squadron Xocury,Futov v11.42,0.422,Pulse Rifle,SC300,T15,S12,C125,100,-2,63,0,320.46,320,720,720
9yCdV1,Squadron Xocury,Zanov,0.400,Pulse Rifle,SC600,T12,S4,C175,150,-2,45,0,188.01,320,720,720
LgEaLG,Squadron Wuwei v12.30,Wuwei v12.30,0.655,Phase Rifle,SC400,T20,S6,C175,150,-6,144,1,414.27,431,720,720
LgEaLG,Squadron Wuwei v12.30,Togantu,0.639,Pulse Rifle,SC500,T20,S10,C175,150,-3,81,0,384.86,431,720,720
LgEaLG,Squadron Wuwei v12.30,Nathea,0.584,Plasma Cannon,SC600,T18,S10,C100,75,-1,80,2,125.10,431,720,720
LgEaLG,Squadron Wuwei v12.30,Batis,0.567,Arc Gun,SC600,T10,S6,C150,125,-5,229,1,430.62,431,720,720
LgEaLG,Squadron Wuwei v12.30,Ietov,0.522,Phase Rifle,SC500,T18,S6,C100,75,-3,48,0,92.93,431,720,720
LgEaLG,Squadron Wuwei v12.30,Batania,0.411,Pulse Rifle,SC700,T12,S4,C100,75,-3,87,0,215.29,431,720,720
V2h8XG,Squadron Wuwei v12.30,Wuwei v12.30,0.655,Phase Rifle,SC400,T20,S6,C175,150,-3,160,1,297.65,298,720,720
V2h8XG,Squadron Wuwei v12.30,Togantu,0.639,Pulse Rifle,SC500,T20,S10,C175,150,-2,69,0,164.74,298,720,720
V2h8XG,Squadron Wuwei v12.30,Nathea,0.584,Plasma Cannon,SC600,T18,S10,C100,75,0,80,0,94.73,298,720,720
V2h8XG,Squadron Wuwei v12.30,Batis,0.567,Arc Gun,SC600,T10,S6,C150,125,-3,141,1,216.94,298,720,720
V2h8XG,Squadron Wuwei v12.30,Ietov,0.522,Phase Rifle,SC500,T18,S6,C100,75,-7,16,0,120.69,298,720,720
V2h8XG,Squadron Wuwei v12.30,Batania,0.411,Pulse Rifle,SC700,T12,S4,C100,75,0,90,0,236.79,298,720,720
0zbMiD,Squadron Wuwei v12.30,Wuwei v12.30,0.655,Phase Rifle,SC400,T20,S6,C175,150,-14,112,0,224.66,337,720,720
0zbMiD,Squadron Wuwei v12.30,Togantu,0.639,Pulse Rifle,SC500,T20,S10,C175,150,-10,60,0,337.16,337,720,720
0zbMiD,Squadron Wuwei v12.30,Nathea,0.584,Plasma Cannon,SC600,T18,S10,C100,75,-7,70,0,182.68,337,720,720
0zbMiD,Squadron Wuwei v12.30,Batis,0.567,Arc Gun,SC600,T10,S6,C150,125,-6,162,2,278.81,337,720,720
0zbMiD,Squadron Wuwei v12.30,Ietov,0.522,Phase Rifle,SC500,T18,S6,C100,75,-4,32,0,88.87,337,720,720
0zbMiD,Squadron Wuwei v12.30,Batania,0.411,Pulse Rifle,SC700,T12,S4,C100,75,-2,45,0,164.59,337,720,720
ratSiY,Squadron Wuwei v12.30,Wuwei v12.30,0.655,Phase Rifle,SC400,T20,S6,C175,150,75,144,1,,248,720,720
ratSiY,Squadron Wuwei v12.30,Togantu,0.639,Pulse Rifle,SC500,T20,S10,C175,150,21,87,1,,248,720,720
ratSiY,Squadron Wuwei v12.30,Nathea,0.584,Plasma Cannon,SC600,T18,S10,C100,75,-2,150,0,226.66,248,720,720
ratSiY,Squadron Wuwei v12.30,Batis,0.567,Arc Gun,SC600,T10,S6,C150,125,44,147,1,,248,720,720
ratSiY,Squadron Wuwei v12.30,Ietov,0.522,Phase Rifle,SC500,T18,S6,C100,75,13,112,3,,248,720,720
ratSiY,Squadron Wuwei v12.30,Batania,0.411,Pulse Rifle,SC700,T12,S4,C100,75,-12,54,0,132.43,248,720,720
ratSiY,Squadron Wuwei v12.30,Wuwei v12.30,0.655,Phase Rifle,SC400,T20,S6,C175,150,-3,128,1,370.12,436,720,720
ratSiY,Squadron Wuwei v12.30,Togantu,0.639,Pulse Rifle,SC500,T20,S10,C175,150,-8,123,3,436.39,436,720,720
ratSiY,Squadron Wuwei v12.30,Nathea,0.584,Plasma Cannon,SC600,T18,S10,C100,75,0,100,0,212.04,436,720,720
ratSiY,Squadron Wuwei v12.30,Batis,0.567,Arc Gun,SC600,T10,S6,C150,125,-4,85,0,164.89,436,720,720
ratSiY,Squadron Wuwei v12.30,Ietov,0.522,Phase Rifle,SC500,T18,S6,C100,75,0,160,0,235.44,436,720,720
ratSiY,Squadron Wuwei v12.30,Batania,0.411,Pulse Rifle,SC700,T12,S4,C100,75,-7,36,0,101.42,436,720,720
mNmsqZ,Squadron Wuwei v12.30,Wuwei v12.30,0.655,Phase Rifle,SC400,T20,S6,C175,150,0,160,1,263.02,361,720,720
mNmsqZ,Squadron Wuwei v12.30,Togantu,0.639,Pulse Rifle,SC500,T20,S10,C175,150,-3,108,1,361.46,361,720,720
mNmsqZ,Squadron Wuwei v12.30,Nathea,0.584,Plasma Cannon,SC600,T18,S10,C100,75,-4,80,1,130.65,361,720,720
mNmsqZ,Squadron Wuwei v12.30,Batis,0.567,Arc Gun,SC600,T10,S6,C150,125,-4,117,0,197.03,361,720,720
mNmsqZ,Squadron Wuwei v12.30,Ietov,0.522,Phase Rifle,SC500,T18,S6,C100,75,-14,80,1,275.95,361,720,720
mNmsqZ,Squadron Wuwei v12.30,Batania,0.411,Pulse Rifle,SC700,T12,S4,C100,75,-5,108,0,249.13,361,720,720
thjYmV,Squadron Tubos,Tubos,0.633,Arc Gun,SC600,T10,S15,C200,200,16,138,0,,317,720,720
thjYmV,Squadron Tubos,Lonerth,0.633,Fusion Cannon,SC700,T12,S10,C200,200,72,184,2,,317,720,720
thjYmV,Squadron Tubos,Faliv,0.561,Plasma Cannon,SC600,T20,S4,C100,75,-5,90,1,203.26,317,720,720
thjYmV,Squadron Tubos,Gegantu,0.550,Fusion Cannon,SC500,T18,S6,C150,125,82,128,2,,317,720,720
thjYmV,Squadron Tubos,Fonia,0.539,Pulse Rifle,SC400,T12,S15,C175,150,68,78,1,,317,720,720
thjYmV,Squadron Tubos,Gomia,0.461,Pulse Rifle,SC400,T20,S8,C125,100,-4,75,0,307.34,317,720,720
thjYmV,Squadron Tubos,Tubos,0.633,Arc Gun,SC600,T10,S15,C200,200,74,204,2,,241,720,720
thjYmV,Squadron Tubos,Lonerth,0.633,Fusion Cannon,SC700,T12,S10,C200,200,95,136,2,,241,720,720
thjYmV,Squadron Tubos,Faliv,0.561,Plasma Cannon,SC600,T20,S4,C100,75,31,110,1,,241,720,720
thjYmV,Squadron Tubos,Gegantu,0.550,Fusion Cannon,SC500,T18,S6,C150,125,69,120,1,,241,720,720
thjYmV,Squadron Tubos,Fonia,0.539,Pulse Rifle,SC400,T12,S15,C175,150,0,57,0,212.14,241,720,720
thjYmV,Squadron Tubos,Gomia,0.461,Pulse Rifle,SC400,T20,S8,C125,100,12,51,0,,241,720,720
thjYmV,Squadron Tubos,Tubos,0.633,Arc Gun,SC600,T10,S15,C200,200,2,236,4,,301,720,720
thjYmV,Squadron Tubos,Lonerth,0.633,Fusion Cannon,SC700,T12,S10,C200,200,87,96,0,,301,720,720
thjYmV,Squadron Tubos,Faliv,0.561,Plasma Cannon,SC600,T20,S4,C100,75,5,120,1,,301,720,720
thjYmV,Squadron Tubos,Gegantu,0.550,Fusion Cannon,SC500,T18,S6,C150,125,-14,152,1,219.72,301,720,720
thjYmV,Squadron Tubos,Fonia,0.539,Pulse Rifle,SC400,T12,S15,C175,150,-4,39,0,133.54,301,720,720
thjYmV,Squadron Tubos,Gomia,0.461,Pulse Rifle,SC400,T20,S8,C125,100,-15,42,0,238.59,301,720,720
thjYmV,Squadron Tubos,Tubos,0.633,Arc Gun,SC600,T10,S15,C200,200,-3,218,1,264.74,375,720,720
thjYmV,Squadron Tubos,Lonerth,0.633,Fusion Cannon,SC700,T12,S10,C200,200,-1,216,4,374.55,375,720,720
thjYmV,Squadron Tubos,Faliv,0.561,Plasma Cannon,SC600,T20,S4,C100,75,-2,120,0,176.10,375,720,720
thjYmV,Squadron Tubos,Gegantu,0.550,Fusion Cannon,SC500,T18,S6,C150,125,0,152,0,351.38,375,720,720
thjYmV,Squadron Tubos,Fonia,0.539,Pulse Rifle,SC400,T12,S15,C175,150,-3,48,0,170.23,375,720,720
