playerOneNumber,playerOne,playerTwoNumber,playerTwo,round,playerOneWins,playerTwoWins,draws
#0009,Relia v12.42,#0050,Dovis v46.22,1,2,1,0
#0003,Tubos,#0119,Xunus Mk XII,1,0,3,0
#0057,Ienov,#0105,Nalea v36.5,1,0,3,0
#0126,Wanus v30.81,#0043,Dayama,1,0,3,0
#0062,Nanov,#0118,Pucarro,1,2,1,0
#0131,Iunus v35.24,#0080,Fuwei,1,0,3,0
#0064,Zoclite,#0117,Cethea,1,1,2,0
#0102,Huyama,#0078,Zuter,1,3,0,0
#0113,Kunope,#0040,Wuter Mk XVII,1,3,0,0
#0090,Gohiri,#0024,Wehines Mk L,1,2,1,0
#0007,Nostea,#0010,Xocury,1,3,0,0
#0122,Wanope,#0110,Keclite,1,2,1,0
#0097,Foter,#0015,Honov,1,0,3,0
#0136,Tuvis,#0081,Wustea Mk LXXXVI,1,0,3,0
#0072,Xulia,#0047,Futis,1,0,3,0
#0037,Decarro,#0093,Megantu,1,3,0,0
#0111,Herilia v14.82,#0019,Iavis v40.72,1,1,2,0
#0026,Jolea,#0124,Fanov v33.40,1,0,3,0
#0112,Matania,#0006,Sophus,1,1,2,0
#0114,Negantu,#0128,Xetune,1,2,1,0
#0133,Felea,#0079,Dutune,1,3,0,0
#0014,Qewei Mk XCV,#0077,Vucarro v33.11,1,1,2,0
#0034,Pucury v46.28,#0088,Julea,1,2,1,0
#0084,Iuzuno,#0068,Fucury,1,2,1,0
#0100,Turilia v28.53,#0021,Selea,1,0,3,0
#0016,Purilia Mk XXXV,#0116,Soria,1,0,3,0
#0129,Peter,#0036,Tenia,1,1,2,0
#0085,Fupra,#0054,Halea v22.63,1,3,0,0
#0083,Hunus v28.9,#0031,Ianov,1,2,1,0
#0104,Nutera,#0094,Monus,1,0,3,0
#0053,Zostea,#0032,Later,1,3,0,0
#0005,Cotania,#0017,Wonus,1,1,2,0
#0076,Qater,#0059,Qewei,1,3,0,0
#0096,Funerth,#0018,Buwei,1,2,1,0
#0132,Vetania,#0135,Durus v12.47,1,0,3,0
#0025,Iapra,#0070,Qunus,1,1,2,0
#0027,Yutania,#0098,Suria Mk XCVII,1,1,2,0
#0082,Qaturn,#0092,Yestea,1,3,0,0
#0044,Wunus,#0048,Yayama,1,0,3,0
#0020,Humia,#0004,Pecury,1,3,0,0
#0030,Yenus,#0011,Wuwei v12.30,1,3,0,0
#0121,Sugantu,#0123,Fatera,1,1,2,0
#0089,Lanus,#0022,Yocarro Mk XLVII,1,1,2,0
#0023,Manope Mk XXXVII,#0049,Ronus v28.11,1,0,3,0
#0095,Rugawa,#0008,Tepra,1,3,0,0
#0091,Qalea,#0002,Nonia,1,0,3,0
#0045,Futer,#0087,Doyama Mk VII,1,0,3,0
#0101,Fabos,#0055,Sulara v35.90,1,0,3,0
#0039,Cuvis,#0125,Soter v3.44,1,2,1,0
#0067,Rozuno,#0134,Tetune,1,1,2,0
#0130,Doruta,#0073,Vophus,1,3,0,0
#0103,Xotune v29.73,#0086,Peturn,1,2,1,0
#0042,Potera,#0075,Jenides,1,1,2,0
#0052,Qustea,#0041,Toliv v6.73,1,2,1,0
#0071,Secarro,#0099,Vathea,1,1,2,0
#0120,Waria v41.6,#0109,Ioliv,1,1,2,0
#0137,Juzuno v16.41,#0115,Lethea Mk XCVII,1,2,1,0
#0066,Ferilia,#0063,Logawa,1,1,2,0
#0029,Nehiri,#0012,Yutera Mk LXXXIV,1,3,0,0
#0058,Guthea,#0107,Danov,1,0,3,0
#0069,Bonope,#0060,Tonides,1,2,1,0
#0033,Lacarro,#0051,Xaturn,1,2,1,0
#0035,Haruta Mk XLIX,#0127,Quwei,1,3,0,0
#0106,Jatania,#0013,Tewei v11.69,1,1,2,0
#0046,Henerth Mk VIII,#0065,Huthea,1,0,3,0
#0074,Petania Mk LXXXVII,#0001,Gaphus,1,1,2,0
#0061,Wuturn v18.96,#0108,Getis,1,1,2,0
#0056,Wahiri Mk LXXIV,#0028,Senus Mk XLIX,1,0,3,0
#0038,Selia,Bye,Bye,1,2,0,0
#0038,Selia,#0099,Vathea,2,0,3,0
#0098,Suria Mk XCVII,#0102,Huyama,2,0,3,0
#0039,Cuvis,#0047,Futis,2,1,2,0
#0117,Cethea,#0095,Rugawa,2,0,3,0
#0083,Hunus v28.9,#0119,Xunus Mk XII,2,0,3,0
#0062,Nanov,#0007,Nostea,2,3,0,0
#0063,Logawa,#0134,Tetune,2,3,0,0
#0043,Dayama,#0015,Honov,2,1,2,0
#0103,Xotune v29.73,#0113,Kunope,2,2,1,0
#0090,Gohiri,#0081,Wustea Mk LXXXVI,2,0,3,0
#0035,Haruta Mk XLIX,#0085,Fupra,2,2,1,0
#0135,Durus v12.47,#0028,Senus Mk XLIX,2,0,3,0
#0030,Yenus,#0087,Doyama Mk VII,2,1,2,0
#0123,Fatera,#0034,Pucury v46.28,2,2,1,0
#0107,Danov,#0137,Juzuno v16.41,2,1,2,0
#0048,Yayama,#0080,Fuwei,2,1,2,0
#0096,Funerth,#0019,Iavis v40.72,2,1,2,0
#0033,Lacarro,#0036,Tenia,2,0,3,0
#0084,Iuzuno,#0009,Relia v12.42,2,0,3,0
#0001,Gaphus,#0029,Nehiri,2,3,0,0
#0076,Qater,#0075,Jenides,2,3,0,0
#0020,Humia,#0013,Tewei v11.69,2,0,3,0
#0049,Ronus v28.11,#0037,Decarro,2,0,3,0
#0133,Felea,#0077,Vucarro v33.11,2,3,0,0
#0109,Ioliv,#0002,Nonia,2,3,0,0
#0055,Sulara v35.90,#0070,Qunus,2,3,0,0
#0021,Selea,#0006,Sophus,2,3,0,0
#0108,Getis,#0114,Negantu,2,0,3,0
#0122,Wanope,#0130,Doruta,2,0,3,0
#0105,Nalea v36.5,#0065,Huthea,2,0,3,0
#0124,Fanov v33.40,#0053,Zostea,2,0,3,0
#0017,Wonus,#0069,Bonope,2,3,0,0
#0116,Soria,#0022,Yocarro Mk XLVII,2,1,2,0
#0052,Qustea,#0094,Monus,2,0,3,0
#0082,Qaturn,#0104,Nutera,2,3,0,0
#0005,Cotania,#0025,Iapra,2,0,3,0
#0057,Ienov,#0129,Peter,2,2,1,0
#0079,Dutune,#0093,Megantu,2,3,0,0
#0100,Turilia v28.53,#0061,Wuturn v18.96,2,2,1,0
#0066,Ferilia,#0058,Guthea,2,2,1,0
#0136,Tuvis,#0050,Dovis v46.22,2,3,0,0
#0027,Yutania,#0118,Pucarro,2,2,1,0
#0041,Toliv v6.73,#0115,Lethea Mk XCVII,2,2,1,0
#0044,Wunus,#0086,Peturn,2,2,1,0
#0078,Zuter,#0045,Futer,2,3,0,0
#0023,Manope Mk XXXVII,#0088,Julea,2,1,2,0
#0042,Potera,#0004,Pecury,2,2,1,0
#0032,Later,#0091,Qalea,2,1,2,0
#0110,Keclite,#0128,Xetune,2,1,2,0
#0072,Xulia,#0012,Yutera Mk LXXXIV,2,1,2,0
#0031,Ianov,#0059,Qewei,2,3,0,0
#0073,Vophus,#0068,Fucury,2,3,0,0
#0092,Yestea,#0016,Purilia Mk XXXV,2,0,3,0
#0101,Fabos,#0003,Tubos,2,1,2,0
#0132,Vetania,#0056,Wahiri Mk LXXIV,2,1,2,0
#0060,Tonides,#0067,Rozuno,2,1,2,0
#0121,Sugantu,#0040,Wuter Mk XVII,2,0,3,0
#0112,Matania,#0051,Xaturn,2,3,0,0
#0054,Halea v22.63,#0071,Secarro,2,0,3,0
#0131,Iunus v35.24,#0008,Tepra,2,0,3,0
#0125,Soter v3.44,#0046,Henerth Mk VIII,2,3,0,0
#0064,Zoclite,#0106,Jatania,2,0,3,0
#0011,Wuwei v12.30,#0089,Lanus,2,0,3,0
#0126,Wanus v30.81,#0014,Qewei Mk XCV,2,3,0,0
#0097,Foter,#0120,Waria v41.6,2,0,3,0
#0024,Wehines Mk L,#0074,Petania Mk LXXXVII,2,0,3,0
#0010,Xocury,#0026,Jolea,2,0,3,0
#0018,Buwei,#0127,Quwei,2,2,1,0
#0111,Herilia v14.82,Bye,Bye,2,2,0,0
#0123,Fatera,#0130,Doruta,3,0,3,0
#0076,Qater,#0081,Wustea Mk LXXXVI,3,0,3,0
#0013,Tewei v11.69,#0080,Fuwei,3,2,1,0
#0103,Xotune v29.73,#0037,Decarro,3,3,0,0
#0133,Felea,#0021,Selea,3,3,0,0
#0065,Huthea,#0053,Zostea,3,0,3,0
#0114,Negantu,#0102,Huyama,3,0,3,0
#0035,Haruta Mk XLIX,#0095,Rugawa,3,2,1,0
#0063,Logawa,#0119,Xunus Mk XII,3,1,2,0
#0137,Juzuno v16.41,#0087,Doyama Mk VII,3,2,1,0
#0094,Monus,#0017,Wonus,3,0,3,0
#0109,Ioliv,#0062,Nanov,3,2,1,0
#0036,Tenia,#0082,Qaturn,3,2,1,0
#0047,Futis,#0055,Sulara v35.90,3,1,2,0
#0019,Iavis v40.72,#0099,Vathea,3,3,0,0
#0022,Yocarro Mk XLVII,#0009,Relia v12.42,3,2,1,0
#0028,Senus Mk XLIX,#0015,Honov,3,1,2,0
#0001,Gaphus,#0056,Wahiri Mk LXXIV,3,3,0,0
#0117,Cethea,#0096,Funerth,3,0,3,0
#0003,Tubos,#0088,Julea,3,1,2,0
#0069,Bonope,#0044,Wunus,3,0,3,0
#0125,Soter v3.44,#0074,Petania Mk LXXXVII,3,1,2,0
#0128,Xetune,#0071,Secarro,3,2,1,0
#0029,Nehiri,#0066,Ferilia,3,0,3,0
#0026,Jolea,#0120,Waria v41.6,3,0,3,0
#0052,Qustea,#0031,Ianov,3,0,3,0
